Otazka;Spravna_odpoved;Odpoved_2;Odpoved_3;Odpoved_4
Které prvky patří mezi alkalické kovy?;Li, Na, K, Rb, Cs, Fr;Cu, Ag, Au;Mg, Ca, Sr;F, Cl, Br
Jaký je oxidační stav alkalických kovů?;+I;+II;+III;0
Jaká je reaktivita alkalických kovů?;Velmi vysoká, reagují s vodou;Nízká, nereagují s vodou;Jsou inertní;Jsou hořlavé
Co vzniká reakcí sodíku s vodou?;Hydroxid sodný a vodík;Sůl a kyselina;Kyselina a oxid;Kyslík a voda
Jaký je plamen sodíku?;Žlutý;Modrý;Zelený;Fialový
Jaký je plamen draslíku?;Fialový;Červený;Modrý;Zelený
K čemu se používá hydroxid sodný?;Výroba mýdel, čisticích prostředků;Jako hnojivo;V potravinách;Pro výrobu plynů
Co je fotosyntéza?;Proces přeměny světelné energie na chemickou v rostlinách;Zahřívání rostlin;Dýchání zvířat;Filtrace vody
Kde probíhá fotosyntéza?;V chloroplastech;V mitochondriích;V jádře;Ve vakuolách
Jaký je hlavní pigment fotosyntézy?;Chlorofyl;Karoten;Antokyan;Melanin
Jaký je vzorec sumární rovnice fotosyntézy?;6CO₂ + 6H₂O → C₆H₁₂O₆ + 6O₂;CO₂ + H₂O → H₂CO₃;CH₄ + O₂ → CO₂ + H₂O;H₂ + O₂ → H₂O
Co je světelná fáze fotosyntézy?;Přeměna světla na chemickou energii;Tvorba glukózy;Dýchání rostlin;Vypařování vody
Co vzniká ve světelné fázi fotosyntézy?;ATP a NADPH;Glukóza a škrob;Ovocné kyseliny;Voda a CO₂
Co je temnostní fáze fotosyntézy?;Fixace CO₂ a syntéza glukózy;Absorpce světla;Fotolýza vody;Tvorba chlorofylu
Jaký plyn je vedlejším produktem fotosyntézy?;Kyslík;Dusík;Oxid uhličitý;Vodík
Který z těchto prvků je nezbytný pro fotosyntézu?;Hořčík (v chlorofylu);Vápník;Síra;Zinek
Jaká energie pohání fotosyntézu?;Sluneční světlo;Tepelná energie;Větrná energie;Mechanická práce
Které organismy provádějí fotosyntézu?;Zelené rostliny, sinice, řasy;Houby;Zvířata;Bakterie hniloby
Co je hlavním produktem fotosyntézy?;Glukóza;Kyselina;Tuky;Bílkoviny
Které složky jsou potřebné pro fotosyntézu?;Voda, oxid uhličitý, světlo;Kyslík, glukóza, voda;Dusík, amoniak, světlo;Sacharidy, lipidy, proteiny
