Otazka;Spravna_odpoved;Odpoved_2;Odpoved_3;Odpoved_4
Jaká je hlavní funkce vylučovací soustavy?;Odstraňování odpadních látek z těla;Trávení potravy;Tvorba krve;Řízení pohybů
Který orgán je klíčový pro tvorbu moči?;Ledvina;Játra;Slezina;Pankreas
Jak se nazývá základní funkční jednotka ledviny?;Nefron;Neuron;Alveola;Kapilára
K čemu slouží močový měchýř?;Shromažďuje moč před vyloučením;Tvoří moč;Filtruje krev;Vstřebává živiny
Co je osmoregulace?;Udržování rovnováhy vody a iontů v těle;Tvorba cukrů;Dýchací proces;Tlak v cévách
Z čeho se skládá kůže?;Pokožka, škára, podkožní vazivo;Svaly a šlachy;Tkáně a buňky;Kost a chrupavka
Jaké jsou kožní deriváty?;Vlasy, nehty, potní a mazové žlázy;Kosti a svaly;Cévy a nervy;Klouby a šlachy
K čemu slouží potní žlázy?;Ochladit tělo a vylučovat odpadní látky;Zvýšit tělesnou teplotu;Tvořit krev;Řídit hormonální činnost
Jaká je funkce melaninu v kůži?;Chrání před UV zářením;Tvoří pot;Zpevňuje kůži;Přenáší teplo
Jak probíhá termoregulace pomocí kůže?;Pocením a rozšířením cév;Změnou barvy kůže;Pohyby svalů;Zvýšením krevního tlaku
