Otazka;Spravna_odpoved;Odpoved_2;Odpoved_3;Odpoved_4
Kdy začala druhá světová válka?;1. září 1939;3. září 1938;15. března 1939;1. října 1940
Který stát byl napaden Německem jako první?;Polsko;Francie;SSSR;Československo
Kdy vstoupila Velká Británie a Francie do války?;3. září 1939;1. září 1939;1. října 1940;7. prosince 1941
Jaký byl výsledek bitvy o Británii?;Porážka Německa a udržení Británie;Porážka Británie;Německo ovládlo Londýn;Uzavření příměří
Kdy zaútočilo Německo na SSSR?;22. června 1941;7. prosince 1941;1. září 1939;9. května 1940
Jak se nazýval plán německého útoku na SSSR?;Operace Barbarossa;Operace Tora Tora;Operace Torch;Bleskový plán
Kdy zaútočilo Japonsko na Pearl Harbor?;7. prosince 1941;22. června 1941;1. září 1940;3. dubna 1942
Jak reagovaly USA na útok na Pearl Harbor?;Vyhlásily válku Japonsku;Zůstaly neutrální;Připojily se k Ose;Uzavřely mír
Kdy proběhlo vylodění v Normandii?;6. června 1944;7. prosince 1941;1. září 1943;8. května 1945
Jaký byl cíl vylodění v Normandii?;Osvobození západní Evropy od nacistů;Obsazení Itálie;Ovládnutí Moskvy;Vytvoření nové fronty v Africe
Kdy kapitulovalo Německo?;8. května 1945;6. června 1944;7. prosince 1941;9. srpna 1945
Jaké město bylo první osvobozené Rudou armádou na českém území?;Ostrava;Praha;Brno;Košice
Kdo vedl francouzský odboj?;Charles de Gaulle;Petain;Hitler;Churchill
Jak se nazýval proces vyvražďování Židů během války?;Holokaust;Velká čistka;Genocida Slovanů;Lidice
Kdy a kde byla svržena první atomová bomba?;6. srpna 1945 na Hirošimu;9. srpna 1945 na Nagasaki;7. prosince 1941 na Pearl Harbor;8. května 1945 na Berlín
Jaký byl výsledek Postupimské konference?;Rozdělení Německa a Berlína;Založení OSN;Vytvoření nové Evropy;Zrušení OSY
Kdo byli Spojenci během druhé světové války?;USA, SSSR, Velká Británie;Německo, Itálie, Japonsko;Francie, Rakousko, Španělsko;Čína, Nizozemsko, Švédsko
Které státy tvořily Osa?;Německo, Itálie, Japonsko;SSSR, USA, Čína;Francie, Rakousko, Kanada;Polsko, Maďarsko, Finsko
Jak se jmenovala konference, na které se domluvilo poválečné uspořádání světa?;Jaltská konference;Versailleská smlouva;Vídeňský kongres;OSN schůze
Jaký byl osud Adolfa Hitlera?;Spáchal sebevraždu;Byl popraven;Utekl do Jižní Ameriky;Byl zajat
