otázka;správná odpověď;možnost 1;možnost 2;možnost 3;možnost 4
Co popisuje topologie sítí?;Fyzické nebo logické uspořádání prvků sítě;Způsob šifrování dat;Metodu připojení k internetu;Druh použitého hardwaru;Typ operačního systému
Jaké topologie patří mezi fyzické?;Hvězdicová, Sběrnicová, Kruhová, Stromová, Síťová, Hybridní;Logická, Token passing, Broadcast;Peer-to-peer, Klient-server;Modulární, Kombinovaná;Softwarová
Co popisuje logická topologie?;Způsob, jakým data proudí sítí;Fyzické propojení zařízení;Protokoly používané v síti;Síťovou architekturu;Počet uživatelů
Jaké jsou typy logických topologií?;Broadcast a Token passing;Hvězdicová a Kruhová;Stromová a Síťová;Hybridní a Sběrnicová;Klientská a Serverová
Kde se typicky používá hvězdicová topologie?;Lokální sítě (LAN), kanceláře, školy;Průmyslové sítě;Vojenské aplikace;Malé domácí sítě;Internet
Jaká je hlavní nevýhoda sběrnicové topologie?;Porucha hlavní sběrnice ochromí celou síť;Vysoké náklady na kabeláž;Složitá správa;Nízká redundance;Nízká přenosová rychlost
Jaká topologie se hodí pro průmyslové sítě?;Kruhová;Hvězdicová;Síťová;Hybridní;Sběrnicová
Jaká je hlavní výhoda síťové (Mesh) topologie?;Velká odolnost vůči poruchám;Nízké náklady na kabeláž;Jednoduchá správa;Snadné rozšiřování;Vysoká rychlost
Jaký prvek je typicky centrální v hvězdicové topologii?;Přepínač (Switch);Směrovač (Router);Opakovač (Repeater);Hub;Server
Který prvek slouží k propojení sítí různých topologií?;Směrovač (Router);Přepínač (Switch);Opakovač (Repeater);Hub;Bridge
Jaký prvek je považován za pasivní v síti?;Kabeláž;Přepínač (Switch);Směrovač (Router);Opakovač (Repeater);Anténa
Jaký konektor je používán pro optické vlákno?;LC konektor;RJ-45;SC konektor;BNC konektor;USB
Co je hlavní výhodou stromové topologie?;Snadné rozšiřování;Nízké náklady na kabeláž;Odolnost vůči poruchám;Vysoká rychlost přenosu;Bezpečnost
Jaké topologie kombinuje hybridní topologie?;Různé typy topologií;Jeden konkrétní typ topologie;Pouze fyzické topologie;Pouze logické topologie;Pouze bezdrátové
Jaký je hlavní problém kruhové topologie bez redundance?;Selhání jednoho uzlu ovlivní celou síť;Nízká efektivita při velkém počtu uzlů;Vysoké náklady na kabeláž;Složitá konfigurace;Malá přenosová rychlost
Jaká topologie je téměř nepoužívaná v moderních sítích?;Sběrnicová;Hvězdicová;Stromová;Síťová;Kruhová
Co je výhodou hvězdicové topologie?;Jednoduchá správa a rozšíření;Vysoká redundance;Nízké náklady;Rovnoměrné rozdělení provozu;Vysoká rychlost
Jaký je hlavní účel opakovače (Repeater)?;Posílení signálu v rozsáhlých sítích;Propojení sítí různých topologií;Správa datových toků;Monitorování provozu;Filtrování dat
Jaký typ sítě využívá token passing?;Logická topologie;Fyzická topologie;Hybridní topologie;Síťová topologie;Bezdrátová topologie
Který prvek je starší centrální zařízení pro hvězdicovou topologii?;Hub;Switch;Router;Repeater;Bridge
