Otazka;Spravna_odpoved;Odpoved_2;Odpoved_3;Odpoved_4
Co je elektronový obal atomu?;Prostor, kde se nacházejí elektrony;Část jádra;Kladně nabitá část atomu;Místo, kde vzniká radioaktivita
Jak se nazývá základní stavební jednotka elektronového obalu?;Orbital;Molekula;Ion;Nukleon
Kolik elektronů se vejde do jednoho orbitalu?;Dva;Jeden;Čtyři;Neomezeně
Jaké typy orbitalů známe?;s, p, d, f;a, b, c, d;1s, 2s, 3p, 4d;x, y, z
Co určuje tvar orbitalu?;Vedlejší kvantové číslo;Hlavní kvantové číslo;Spinové číslo;Ionizační energie
Jaké je hlavní kvantové číslo?;Určuje energetickou hladinu elektronu;Určuje tvar orbitalu;Určuje orientaci;Určuje spin
Jaké je vedlejší kvantové číslo?;Určuje tvar orbitalu;Určuje energii jádra;Popisuje stav jádra;Měří rychlost elektronů
Jaké je magnetické kvantové číslo?;Určuje orientaci orbitalu v prostoru;Určuje hmotnost elektronu;Popisuje ionty;Určuje velikost atomu
Jaké je spinové kvantové číslo?;Určuje směr rotace elektronu;Určuje náboj;Popisuje stabilitu;Ovlivňuje polaritu
Kolik elektronů může být na jedné energetické hladině n?;2n²;n²;n;4n
Co je periodická soustava prvků (PSP)?;Uspořádání prvků podle jejich vlastností a protonového čísla;Tabulka izotopů;Seznam sloučenin;Spektrum záření
Kdo je autorem periodického zákona?;Dmitrij Mendělejev;Marie Curie;Albert Einstein;Isaac Newton
Jak jsou prvky řazeny v PSP?;Podle rostoucího protonového čísla;Podle atomové hmotnosti;Podle oxidačního čísla;Podle velikosti
Co jsou periody v PSP?;Vodorovné řady prvků;Svislé sloupce;Skupiny prvků;Oblasti reaktivity
Co jsou skupiny v PSP?;Svislé sloupce prvků se stejnými vlastnostmi;Vodorovné řady prvků;Bloky orbitalů;Izotopy prvků
Kolik je skupin v PSP?;18;7;10;12
Co je elektronegativita?;Schopnost atomu přitahovat elektrony;Množství protonů;Stabilita jádra;Rychlost reakce
Jaký prvek má nejvyšší elektronegativitu?;Fluor;Kyslík;Uhlík;Chlor
Co je ionizační energie?;Energie potřebná k odtržení elektronu;Energie pro vazbu;Teplota tání;Rychlost reakce
Co je elektronová afinita?;Schopnost atomu přijmout elektron;Počet valenčních elektronů;Schopnost tvořit izotopy;Síla jádra
