Otazka;Spravna_odpoved;Odpoved_2;Odpoved_3;Odpoved_4
Co je základní jednotkou nervové soustavy?;Neuron;Axon;Mozek;Synapse
Jaká je funkce neuronu?;Přenáší nervové vzruchy;Zajišťuje pohyb svalů;Produkuje hormony;Vytváří červené krvinky
Z čeho se skládá neuron?;Tělo buňky, dendrity, axon;Játra, buňky, jádro;Dendrit, myelin, sval;Synapse, uzliny, žlázy
Jaký je účel myelinové pochvy?;Zrychluje vedení vzruchu;Zajišťuje výměnu plynů;Umožňuje dýchání buněk;Tvoří nervový přenašeč
Kde se nachází centrální nervová soustava (CNS)?;V mozku a míše;V končetinách;V srdci;V břišní dutině
Co tvoří periferní nervový systém?;Nervy mimo CNS;Mozek a mícha;Svaly a kosti;Žlázy s vnitřní sekrecí
Co je synapse?;Spojení mezi dvěma neurony;Místo produkce hormonů;Centrum zpracování emocí;Svalové zakončení
Jaký je rozdíl mezi podmíněným a nepodmíněným reflexem?;Podmíněný se získává učením, nepodmíněný je vrozený;Nepodmíněný je naučený;Podmíněný je vrozený;Žádný rozdíl neexistuje
Kde se zpracovávají podmíněné reflexy?;V mozkové kůře;V míše;V prodloužené míše;V nervových zakončeních
Jaký reflex je např. mrknutí oka při oslnění?;Nepodmíněný reflex;Podmíněný reflex;Svalová reakce;Instinkt
Co je funkcí mozečku?;Koordinace pohybů a rovnováhy;Zrakové vnímání;Paměť;Řízení dýchání
Kde se nachází prodloužená mícha?;Mezi mozkem a míchou;V páteři;V oblasti hrudníku;Za srdcem
Co řídí prodloužená mícha?;Dýchání, srdeční činnost, polykání;Paměť a emoce;Zrakové vnímání;Tvorbu červených krvinek
Jaký typ nervové soustavy mají obratlovci?;Trubicovitý;Žebříčkovitý;Difúzní;Radiální
Jaký typ nervové soustavy mají ploštěnci?;Žebříčkovitý;Trubicovitý;Difúzní;Cévní
Co je vyšší nervová činnost?;Myšlení, paměť, učení;Pohyb svalů;Reflexy;Dýchání a trávení
Jaký nerv přenáší vzruchy ze smyslových orgánů do CNS?;Senzorický (aferentní) nerv;Motorický (eferentní) nerv;Sympatický nerv;Parasympatický nerv
Co zajišťuje motorický (eferentní) nerv?;Přenos signálů z CNS do svalů;Přenos smyslových vjemů;Zpracování informací;Výrobu enzymů
K čemu slouží sympatikus?;Zvyšuje činnost orgánů při stresu;Snižuje činnost trávicí soustavy;Reguluje růst;Podporuje trávení
K čemu slouží parasympatikus?;Uklidňuje organismus a podporuje trávení;Zvyšuje srdeční tep;Ovlivňuje reflexy;Zrychluje dýchání
