Otazka;Spravna_odpoved;Odpoved_2;Odpoved_3;Odpoved_4
Co je pevný disk (HDD)?;Paměťové zařízení pro trvalé ukládání dat;Procesor;Grafická karta;Monitor
Jaký je rozdíl mezi HDD a SSD?;SSD je rychlejší a nemá pohyblivé části;HDD je menší;SSD je levnější;HDD je tišší
K čemu slouží RAM?;Krátkodobá paměť pro běžící programy;Trvalé uložení dat;Zobrazení grafiky;Přehrávání videa
Jaké jsou příklady optických disků?;CD, DVD, Blu-ray;SSD, RAM, Flash;USB, HDD, SD;ZIP, HDD, Tape
Co je USB flash disk?;Přenosné paměťové zařízení;Bezdrátový přístupový bod;Program pro úpravu videa;Operační systém
Co je cloudové úložiště?;Online prostor pro ukládání dat;Interní disk;Paměť RAM;Program pro grafiku
Jaké výhody má cloudové ukládání?;Přístup odkudkoli, automatická záloha;Vyšší spotřeba energie;Nižší bezpečnost;Zpomalení internetu
K čemu slouží paměťová karta (např. SD karta)?;Ukládání dat v mobilních zařízeních a kamerách;Připojení k internetu;Tvorba grafiky;Zrychlení tiskárny
Jaký typ média je vhodný pro dlouhodobou archivaci?;Optické disky (např. Blu-ray);RAM;SSD;Flash disk
Co je kapacita paměťového média?;Množství dat, které lze uložit;Rychlost připojení;Velikost obrazovky;Rozlišení
Jaký formát se běžně používá u USB disků?;FAT32 nebo exFAT;MP4;JPEG;RAW
Co je RAID?;Technologie pro zvýšení výkonu a bezpečnosti diskového úložiště;Formát grafiky;Typ RAM;Počítačová hra
Které paměťové médium je nejrychlejší?;SSD;HDD;CD;DVD
Jaký je nevýhoda HDD oproti SSD?;Má mechanické části, je pomalejší a hlučnější;Je menší;Je dražší;Není kompatibilní
K čemu slouží zálohování?;Ochrana dat proti ztrátě;Zrychlení procesoru;Změna rozlišení;Tvorba tabulek
Co je formátování disku?;Příprava disku pro ukládání dat;Mazání dat bez možnosti obnovení;Zvětšení paměti;Instalace Windows
Jaký typ paměti je ROM?;Paměť pouze pro čtení;Operační paměť;Grafická paměť;Paměťová karta
Jaký je význam rychlosti čtení/zápisu?;Určuje, jak rychle lze s daty pracovat;Velikost souboru;Rozměry zařízení;Zabezpečení disku
Co je pásková jednotka (tape)?;Médium pro archivaci a zálohování dat;Procesor;Základní deska;Napájecí zdroj
Co znamená cloud?;Ukládání dat na vzdálené servery přes internet;Zálohování na CD;Kopírování na USB;Tisk dokumentů
