Otazka;Spravna_odpoved;Odpoved_2;Odpoved_3;Odpoved_4
Co je národní hospodářství?;Souhrn hospodářských činností v daném státě;Přehled školních pravidel;Sbírka kulturních akcí;Systém hlasování
Jaké jsou sektory národního hospodářství?;Primární, sekundární, terciární;Veřejný, soukromý, smíšený;Výrobní, školní, kulturní;Průmysl, školství, sport
Co zahrnuje primární sektor?;Zemědělství, lesnictví, rybolov;Obchod, bankovnictví, školství;Průmysl a stavebnictví;IT a dopravu
Co patří do sekundárního sektoru?;Průmysl a stavebnictví;Zemědělství a rybolov;Kultura a umění;Zdravotnictví a školství
Co tvoří terciární sektor?;Služby – doprava, obchod, školství, zdravotnictví;Těžba a průmysl;Zemědělství a lesnictví;Politika a média
Co je státní rozpočet?;Plán příjmů a výdajů státu;Seznam kulturních akcí;Rozpis školních tříd;Ceník zboží
Kdo sestavuje státní rozpočet v ČR?;Ministerstvo financí;Prezident;Nejvyšší soud;Česká televize
Co jsou příjmy státního rozpočtu?;Daně, poplatky, příjmy z podnikání;Výdaje na školství;Výnosy z koncertů;Platby rodičů
Co jsou výdaje státního rozpočtu?;Výdaje na zdravotnictví, školství, obranu, sociální zabezpečení;Příjmy ze vstupenek;Výdaje na reklamu;Platby za obědy
Co je daňová soustava?;Soubor daní vybíraných státem;Systém slev v obchodech;Přehled poplatků za televizi;Zákon o škole
Jaké známe druhy daní?;Přímé a nepřímé;Dobrovolné a povinné;Vnitrostátní a mezinárodní;Rychlé a pomalé
Co jsou přímé daně?;Daně placené přímo daňovým subjektem (např. daň z příjmů);Daň z přidané hodnoty;Clo;Poplatky za vstup
Co jsou nepřímé daně?;Daně obsažené v cenách zboží (např. DPH, spotřební daň);Daň z příjmu fyzických osob;Poplatek za psa;Darovací daň
Co je makroekonomie?;Studium ekonomiky jako celku;Správa domácích výdajů;Obchodní výcvik;Mikrofinanční poradenství
Jaké jsou hlavní makroekonomické ukazatele?;HDP, inflace, nezaměstnanost;Školní výsledky, známky, docházka;Teplota, tlak, počasí;Ceny vstupenek
Co je HDP?;Hrubý domácí produkt – celková hodnota vyrobeného zboží a služeb;Daň z příjmu;Výplata učitelů;Počet obyvatel
Co je inflace?;Růst cenové hladiny;Pokles platů;Zvýšení srážek;Růst daní
Co je nezaměstnanost?;Situace, kdy lidé nemají práci, ale chtějí pracovat;Přechod do důchodu;Dovolená;Změna práce
Jak probíhala ekonomická transformace v ČR po roce 1989?;Přechod z plánované ekonomiky na tržní;Zavedení výuky angličtiny;Zrušení nemocnic;Změna kalendáře
Proč je důležité rozumět národnímu hospodářství?;Ovlivňuje životní úroveň a kvalitu života;Zlepšuje známky;Snižuje teplotu;Zvyšuje počet knih
