Otazka;Spravna_odpoved;Odpoved_2;Odpoved_3;Odpoved_4
Co je demokracie?;Forma vlády, kde rozhodují občané;Vláda jednoho vůdce;Náboženský režim;Odborné řízení státu
Jaké známe typy demokracie?;Přímá a nepřímá;Otevřená a uzavřená;Západní a východní;Monarchická a republikánská
Co je přímá demokracie?;Občané rozhodují přímo v referendech;Vláda jedné osoby;Rozhoduje pouze parlament;Rozhodnutí přijímá prezident
Co je nepřímá demokracie?;Občané volí zástupce, kteří rozhodují;Vláda armády;Náboženská autorita;Automatické rozhodování
Jaké jsou znaky demokratického právního státu?;Dělba moci, vláda práva, ochrana práv;Cenzura, zákaz opozice;Jednotná strana;Vůdcovský princip
Co znamená politický pluralismus?;Existence více politických stran a názorů;Jedna strana vládne;Zákaz jiných názorů;Podpora armády
Jakou roli hrají volby v demokracii?;Zajišťují výběr zástupců lidem;Volí prezidenta na doživotí;Potvrzují vůli jedné strany;Ovládají zákonodárství
Co je volební systém?;Pravidla, podle kterých se provádí volby;Systém výběru žáků;Sčítání hlasů u ankety;Způsob psaní zpráv
Jaké typy volebních systémů známe?;Většinový a poměrný;Přímý a nepřímý;Malý a velký;Západní a východní
Co je většinový volební systém?;Mandát získá kandidát s nejvíce hlasy;Hlasy se rozdělují rovnoměrně;Každý volí více kandidátů;Losování mezi kandidáty
Co je poměrný volební systém?;Mandáty jsou rozděleny podle procent hlasů;Mandáty se losují;Každý má jeden hlas;Získává jen vítěz
Co je autokracie?;Režim s neomezenou vládou jednoho;Systém se svobodnými volbami;Koalice více stran;Vláda odborníků
Jaké znaky má nedemokratický režim?;Cenzura, zákaz opozice, kult osobnosti;Dělba moci, volby, svoboda tisku;Pluralismus;Respekt k právům menšin
Co je totalitarismus?;Extrémní forma nedemokratického režimu;Mírná diktatura;Přímá volba prezidenta;Přechodná vláda
Jaký je rozdíl mezi demokracií a autokracií?;Demokracie respektuje svobody, autokracie ne;Demokracie je autoritativní;Autokracie má více stran;Demokracie zakazuje svobodu tisku
Co znamená právní stát?;Stát, kde je moc omezena právem;Stát bez pravidel;Stát ovládaný policií;Stát bez zákonů
Co je princip subsidiarity?;Rozhodování co nejblíže občanům;Zákaz účasti občanů;Centrální rozhodování;Delegování armádě
Jaký je význam volební účasti?;Zvyšuje legitimitu vlády;Zvyšuje daňové příjmy;Snižuje inflaci;Zajišťuje export
Co znamená pojem legitimita?;Přijetí moci jako oprávněné;Zákaz svobody;Politická výzva;Vystupování v televizi
K čemu slouží Ústava v demokracii?;Upravuje pravidla fungování státu;Vytváří reklamu;Řídí firmy;Zajišťuje počasí
