Otazka;Spravna_odpoved;Odpoved_2;Odpoved_3;Odpoved_4
"Co jsou optoelektronické součástky?";"Součástky převádějící světlo na elektrický signál nebo naopak";"Součástky pro přenos elektrického proudu";"Součástky pro chlazení procesorů";"Obvody pro správu napájení"
"Co je fotodioda?";"Součástka převádějící světlo na proud";"Zařízení na zesílení zvuku";"Obvod pro řízení napětí";"Paměťová jednotka"
"Jaký je hlavní princip digitálního fotoaparátu?";"Převod světla na elektrický signál pomocí snímače";"Převod zvuku na obraz";"Zpracování grafiky pomocí CPU";"Převod elektrického signálu na zvuk"
"Jaký je hlavní rozdíl mezi CMOS a CCD snímači?";"CMOS má nižší spotřebu a vyšší rychlost";"CCD je levnější a energeticky úspornější";"CMOS je pomalejší a má vyšší šum";"CCD má nižší rozlišení než CMOS"
"Co určuje citlivost ISO u fotoaparátu?";"Citlivost snímače na světlo";"Rychlost závěrky";"Ohniskovou vzdálenost objektivu";"Velikost snímače"
"Jaká je hlavní výhoda CMOS snímačů?";"Nízká spotřeba energie";"Vyšší kvalita obrazu";"Rychlejší zápis na paměťovou kartu";"Menší rozměry"
"Co znamená pojem 'clona' ve fotografii?";"Ovládání množství světla dopadajícího na snímač";"Délka expozice";"Rozlišení snímku";"Velikost objektivu"
"Jaké jsou hlavní typy skenerů?";"Plochý, ruční, 3D";"Optický, magnetický, elektronický";"Digitální, analogový, mechanický";"Infraskener, ultraskener, teplotní skener"
"Co je DPI u skeneru?";"Počet bodů na palec";"Velikost snímku v bajtech";"Rychlost skenování";"Barevná hloubka"
"Jak funguje inkoustová tiskárna?";"Stříká drobné kapky inkoustu na papír";"Pálí obraz laserem na papír";"Rytí motivu do papíru";"Promítání obrazu na papír"
"K čemu se používá plotr?";"Pro kreslení technických výkresů nebo grafů";"Pro přehrávání zvukových souborů";"Pro ukládání dat na disky";"Pro úpravu fotografií"
"Co je RAW formát?";"Nezpracovaný obraz s vysokou kvalitou";"Komprimovaný obraz s nízkou kvalitou";"Zvukový soubor";"Formát pro ukládání textových dokumentů"
"Jaký je rozdíl mezi RAW a JPEG formátem?";"RAW je nekomprimovaný a zachovává více detailů";"JPEG je nekomprimovaný a lepší pro úpravy";"RAW má menší velikost souboru";"JPEG je pouze černobílý"
"Jaký grafický program je open-source alternativou k Adobe Photoshopu?";"GIMP";"CorelDRAW";"Blender";"SketchUp"
"Co znamená DPI u tiskárny?";"Počet bodů na palec";"Počet stránek za minutu";"Velikost papíru";"Kapacita zásobníku"
"Co je Adobe Lightroom?";"Program na úpravu a organizaci fotografií";"Software pro 3D modelování";"Aplikace na zpracování zvuku";"Herní engine"
"Jaký nástroj v grafických programech slouží k odstraňování nechtěných objektů?";"Klonovací razítko";"Ořezávací nástroj";"Křivky";"Textový editor"
"Co je kompozice ve fotografii?";"Volba správného úhlu, světla a rámování";"Správné nastavení expozice";"Výběr správného objektivu";"Výběr tiskového formátu"
"Jaká je hlavní výhoda OLED displejů?";"Perfektní černá a vysoký kontrast";"Nižší výrobní náklady";"Delší životnost než LCD";"Vyšší odolnost proti poškrábání"
"Jaké je hlavní použití stylusu?";"Ovládání dotykových obrazovek";"Připojení k internetu";"Zvuková editace";"Ukládání dat na disky"
