Otazka;Spravna_odpoved;Odpoved_2;Odpoved_3;Odpoved_4
Z čeho se skládá atom?;Z jádra a elektronového obalu;Z protonů a neutronů;Z molekul;Z iontů
Jaké částice obsahuje atomové jádro?;Protony a neutrony;Elektrony;Jenom protony;Jenom neutrony
Jaký náboj má proton?;Kladný;Záporný;Žádný;Mění se podle jádra
Jaký náboj má neutron?;Žádný;Kladný;Záporný;Stejný jako proton
Kde se nacházejí elektrony v atomu?;V elektronovém obalu;V jádře;Mezi protony;Na povrchu jádra
Který model atomu zavedl planetární uspořádání?;Rutherfordův model;Bohrův model;Thomsonův model;Kvarkový model
Co je izotop?;Atom se stejným protonovým číslem, ale jiným neutronovým číslem;Atom s různým počtem elektronů;Molekula dvou atomů;Jádro bez neutronů
Co je vazebná energie jádra?;Energie potřebná k rozdělení jádra na nukleony;Energie elektronu;Síla magnetického pole;Tepelná energie molekuly
Kdo objevil radioaktivitu?;Henri Becquerel;Marie Curie;Albert Einstein;John Dalton
Co je radioaktivita?;Schopnost jader samovolně se přeměňovat;Přítomnost elektronů v obalu;Reaktivita sloučenin;Změna skupenství
Jaké jsou základní typy radioaktivního záření?;Alfa, beta a gama;Röntgenové, ultrafialové a infračervené;Jaderné, chemické a světelné;Alkalické a kyselé
Co je alfa záření?;Proud jader helia;Proud elektronů;Zářivá energie;Světelné vlny
Co je beta záření?;Proud elektronů nebo pozitronů;Proud neutronů;Proud protonů;Změna atomové hmotnosti
Co je gama záření?;Vysokoenergetické elektromagnetické záření;Proud protonů;Ionizační plyn;Teplo uvolněné při spalování
Co je poločas rozpadu?;Doba, za kterou se rozpadne polovina jader určitého radionuklidu;Čas potřebný k zahřátí jádra;Trvání jaderné reakce;Doba života elektronu
Jak se značí nukleonové číslo?;A;Z;N;e
Jaký je posuvový zákon?;Popisuje změny v jádře při radioaktivním rozpadu;Zákon o změně pH;Zákon o směsi plynů;Zákon zachování hmotnosti
Co je rozpadová řada?;Sled postupných radioaktivních přeměn jednoho prvku;Seznam izotopů;Stupnice záření;Změna oxidačního čísla
Jak se mění atom při alfa rozpadu?;Ztrácí 2 protony a 2 neutrony;Získává protony;Získává elektrony;Rozpadne se zcela
Jaký je praktický význam jaderné energie?;Výroba elektřiny, lékařství, výzkum;Barvení látek;Zchlazování vody;Výroba plastů
