Otazka;Spravna_odpoved;Odpoved_2;Odpoved_3;Odpoved_4
"Jaký kabel se používá pro kabelové připojení k LAN?";"Ethernet (kroucená dvojlinka)";"Koaxiální kabel";"Optický kabel";"Telefonní kabel"
"Jaký konektor se používá pro připojení kabelu do počítače?";"RJ-45";"RJ-11";"USB-C";"HDMI"
"Jaké připojení umožňuje Wi-Fi adaptér?";"Bezdrátové připojení";"Kabelové připojení";"Optické připojení";"Připojení přes USB"
"Jaký protokol se používá pro automatické přidělení IP adres?";"DHCP";"DNS";"FTP";"HTTP"
"Co zajišťuje překlad doménových jmen na IP adresy?";"DNS";"DHCP";"FTP";"SMTP"
"Jaký je hlavní účel firewallu v síti?";"Ochrana před neoprávněným přístupem";"Přenos souborů";"Tisk dokumentů";"Překlad adres"
"Jaký typ zabezpečení Wi-Fi je nejbezpečnější?";"WPA3";"WEP";"WPA2";"MAC Filtering"
"Jaký nástroj ve Windows zobrazí aktuální IP adresu?";"ipconfig";"ping";"tracert";"netstat"
"Co znamená zkratka VLAN?";"Virtuální lokální síť";"Vzdálený přístup";"Bezdrátová síť";"Zabezpečená síť"
"Jaký prvek je centrálním bodem kabelové LAN sítě?";"Switch nebo router";"Access Point";"Repeater";"Firewall"
"Jaká je výhoda použití DHCP?";"Automatické přidělování IP adres";"Zrychlení přenosu dat";"Zálohování souborů";"Blokování nežádoucích přístupů"
"Jaký port na routeru slouží pro připojení k internetu?";"WAN port";"LAN port";"USB port";"HDMI port"
"Jaký je účel NAT na routeru?";"Překlad privátních IP adres na veřejnou";"Zrychlení přenosu dat";"Šifrování provozu";"Monitoring připojených zařízení"
"Jaký příkaz ve Windows slouží ke kontrole připojení na router?";"ping 192.168.1.1";"tracert 192.168.1.1";"ipconfig /all";"netstat -a"
"Jaký je účel masky podsítě?";"Určuje rozsah IP adres v síti";"Šifruje data při přenosu";"Zrychluje přenos dat";"Omezuje přístup do sítě"
"Co znamená statická IP adresa?";"IP adresa je pevně nastavena";"IP adresa se mění při každém připojení";"IP adresa je skryta před veřejností";"IP adresa je sdílena mezi více zařízeními"
"Jaký nástroj slouží ke změně nastavení sítě ve Windows?";"Ovládací panely";"Task Manager";"Příkazový řádek";"Registr"
"Jaké služby se často používají pro sdílení souborů v LAN?";"File Sharing";"DHCP";"DNS";"FTP"
"Jak se připojí zařízení k síti přes Wi-Fi?";"Pomocí SSID a hesla";"Pomocí MAC adresy";"Pomocí statické IP adresy";"Pomocí NAT"
"Jaká adresa se běžně používá pro přístup do rozhraní routeru?";"192.168.1.1";"10.0.0.1";"172.16.0.1";"255.255.255.0"
"Jaké nastavení umožňuje omezení připojení jen pro vybraná zařízení?";"MAC Filtering";"WEP šifrování";"Dynamic DNS";"Port forwarding"
"Jaký prvek domácí sítě zajišťuje připojení k internetu?";"Router";"Switch";"Repeater";"Firewall"
"Co umožňuje připojení přes Access Point?";"Rozšíření dosahu Wi-Fi";"Připojení kabelového zařízení";"Monitoring sítě";"Šifrování provozu"
"Jaký prvek zajišťuje přidělení IP adres v domácí síti?";"DHCP server";"DNS server";"FTP server";"Mail server"
"Jaký kanál je vhodné zvolit pro pásmo 2,4 GHz, aby se předešlo rušení?";"1, 6 nebo 11";"2, 4 nebo 7";"3, 5 nebo 8";"9, 10 nebo 12"
"Jaké jsou hlavní výhody kabelového připojení k síti?";"Stabilita a vyšší rychlost";"Snadná instalace";"Nižší náklady";"Větší flexibilita"
"Jaký je základní rozdíl mezi DHCP a statickou IP adresou?";"DHCP přiděluje adresy automaticky, statická je pevná";"Statická IP je pro bezdrátové připojení, DHCP pro kabelové";"DHCP je rychlejší než statická IP";"Statická IP je zabezpečenější než DHCP"
"Jaký je hlavní důvod použití DNS v síti?";"Překlad doménových jmen na IP adresy";"Šifrování dat";"Přidělení IP adres";"Zabezpečení přenosu"
"Jaký příkaz ve Windows umožňuje zobrazit tabulku směrování?";"route print";"ipconfig /all";"netstat -r";"ping -t"
