Otazka;Spravna_odpoved;Odpoved_2;Odpoved_3;Odpoved_4
Kdy došlo k rozpadu Československa?;1. ledna 1993;17. listopadu 1989;1. ledna 1990;31. prosince 1992
Které dva státy vznikly po rozpadu Československa?;Česká republika a Slovenská republika;Čechy a Morava;ČSR a ČSSR;Rakousko a Slovensko
Jak se nazývá událost vedoucí k pádu komunismu v ČSSR?;Sametová revoluce;Plyšový převrat;Pražské jaro;Velká revoluce
Kdy proběhla sametová revoluce?;Listopad 1989;Leden 1990;Říjen 1988;Prosinec 1992
Kdo byl první prezident České republiky?;Václav Havel;Václav Klaus;Miloš Zeman;Alexander Dubček
Kdy se Česká republika stala členem NATO?;1999;1993;2004;1995
Kdy se Česká republika stala členem EU?;2004;1999;1993;2001
Co znamená zkratka OSN?;Organizace spojených národů;Odbor správy národů;Organizace střední naděje;Obec světových národů
Kde sídlí OSN?;New York;Paříž;Ženeva;Londýn
Kdy byla založena OSN?;1945;1919;1989;2000
Co je cílem Evropské unie?;Hospodářská a politická integrace evropských států;Rozdělení států;Válečná koalice;Náboženské sjednocení
Jaký mezinárodní soud sídlí v Haagu?;Mezinárodní trestní soud;Evropský soud pro lidská práva;OSN;Interpol
Co je NATO?;Severoatlantická aliance – vojenský pakt;Hospodářská unie;Evropská rada;Rozvojová organizace
Kdy došlo k rozpadu SSSR?;1991;1989;1990;1993
Kolik států vzniklo po rozpadu SSSR?;15;12;20;10
Jaký pojem označuje proces ukončení koloniální nadvlády?;Dekolonizace;Demokratizace;Federalizace;Urbanizace
Kdy probíhala dekolonizace Afriky nejintenzivněji?;50.–60. léta 20. století;30. léta 20. století;80. léta 20. století;Po roce 2000
Co je globalizace?;Propojování světa v oblasti ekonomiky, politiky a kultury;Zrušení hranic;Národní uzavřenost;Růst populace
Které problémy řeší OSN v současnosti?;Mírové mise, klimatické změny, uprchlíci;Zrušení států;Kolonizaci Marsu;Rozšíření daní
Kdo byl prezidentem USA v době 11. září 2001?;George W. Bush;Barack Obama;Bill Clinton;Donald Trump
