Otazka;Spravna_odpoved;Odpoved_2;Odpoved_3;Odpoved_4
Co jsou oligosacharidy?;Cukry složené z 2–10 monosacharidových jednotek;Jednoduché cukry;Tuky;Bílkoviny
Který z následujících je disacharid?;Sacharóza;Glukóza;Fruktóza;Citrónová kyselina
Které disacharidy jsou biologicky významné?;Sacharóza, laktóza, maltóza;Glukóza, fruktóza, ribóza;Celulóza, chitin, škrob;Ethanol, methanol, glycerol
Co vzniká hydrolýzou disacharidů?;Dvě molekuly monosacharidů;Tři mastné kyseliny;Alkohol;Aminokyseliny
Z čeho se skládá sacharóza?;Glukóza + fruktóza;Glukóza + galaktóza;Fruktóza + maltóza;Glukóza + maltóza
Z čeho se skládá laktóza?;Glukóza + galaktóza;Glukóza + fruktóza;Glukóza + glukóza;Galaktóza + ribóza
Který polysacharid je zásobní u rostlin?;Škrob;Celulóza;Chitin;Glykogen
Který polysacharid tvoří buněčné stěny rostlin?;Celulóza;Škrob;Laktóza;Sacharóza
Který polysacharid je zásobní u živočichů?;Glykogen;Škrob;Celulóza;Maltóza
K čemu se využívají polysacharidy?;Potravinářství, farmacie, textil;Výroba kovů;Výroba skla;Syntéza plastů
Který prvek je součástí chromové oceli?;Chrom;Zinek;Hliník;Kobalt
Jaký je oxidační stav chromu v dichromanu?;+VI;+III;+II;+I
Jak se chrom využívá v praxi?;Pochromování, slitiny, pigmenty;Výroba papíru;Fotosyntéza;Syntéza proteinů
Který chromový iont je toxický?;Cr(VI);Cr(III);Cr(II);Cr(0)
Jaký je oxidační stav manganu v manganistanu draselném?;+VII;+IV;+III;+II
K čemu se používá manganistan draselný?;Silné oxidační činidlo;Zásadité činidlo;Bělidlo;Redukční činidlo
Jaký je oxidační stav manganu v oxidu MnO₂?;+IV;+II;+VII;+I
K čemu slouží mangan v těle?;Metabolismus, antioxidant;Transport kyslíku;Syntéza bílkovin;Zásobárna energie
Jaký je přirozený výskyt manganu?;Minerály jako pyrolusit;Kyslíkové sloučeniny;Sladká voda;Plodiny
Jaký je vliv chromu na organismus?;Regulace hladiny cukru v krvi;Zvýšení kyselosti krve;Syntéza vitaminu C;Podpora trávení
