Otazka;Spravna_odpoved;Odpoved_2;Odpoved_3;Odpoved_4
Co je paprsková optika?;Studium šíření světelných paprsků v různých prostředích;Zkoumání zvukových vln;Studium elektrických proudů;Zobrazování pomocí rádiových vln
Co je zrcadlo?;Optická plocha, která odráží světlo;Zařízení pro rozklad světla;Objektiv;Lupa
Jak se nazývá rovina kolmá k povrchu zrcadla v místě dopadu paprsku?;Kolmice;Normála;Tangentní rovina;Osa
Jaký je rozdíl mezi dutým a vypuklým zrcadlem?;Duté sbírá, vypuklé rozptyluje paprsky;Obě sbírají paprsky;Duté rozptyluje, vypuklé sbírá;Žádný rozdíl
Co je ohnisko zrcadla?;Bod, ve kterém se protínají odražené paprsky;Bod s největší intenzitou zvuku;Střed zrcadla;Bod, kde se láme světlo
Co je čočka?;Optická součástka lomící světlo;Přístroj na měření proudu;Stínítko;Světelný zdroj
Co je spojka?;Čočka sbíhající paprsky;Čočka rozptylující paprsky;Zrcadlo;Optický kabel
Co je rozptylka?;Čočka rozptylující paprsky;Čočka sbíhající paprsky;Zrcadlo;Kondenzátor
Jaký je obraz vytvořený spojkou při předmětu za dvojnásobkem ohniskové vzdálenosti?;Zmenšený, převrácený, skutečný;Zvětšený, přímý, neskutečný;Rovný, zmenšený, neskutečný;Neexistující
Co je optická osa?;Přímka procházející středy zakřivení čoček nebo zrcadel;Dráha paprsku;Lomná plocha;Osa mikroskopu
Jaký je vztah čočkové rovnice?;1/f = 1/a + 1/a';f = 1/(a - a');a = f + a';a/f = a'
Který přístroj obsahuje dvě spojky?;Mikroskop;Zrcadlo;Lupa;Rovinné zrcadlo
Jaký obraz tvoří lupa?;Zvětšený, vzpřímený, neskutečný;Zmenšený, převrácený, skutečný;Nezměněný;Skutečný a vzpřímený
Jaké zobrazení poskytuje fotoaparát?;Skutečný, převrácený a zmenšený obraz;Neskutečný a zvětšený obraz;Skutečný a vzpřímený obraz;Neexistující obraz
Jak pracuje dalekohled?;Zvětšuje vzdálené objekty pomocí čoček nebo zrcadel;Zmenšuje objekty;Odhaluje barvu těles;Vytváří zvukový signál
Co je okulár?;Čočka blíže oku pozorovatele;První čočka v optické soustavě;Zrcadlo;Měřicí přístroj
Co je objektiv?;První čočka v optické soustavě;Závěrečný člen přístroje;Lupa;Zrcadlo
Kde se používají optická vlákna?;V přenosu dat a lékařství;V kuchyni;V elektromotorech;V audio přehrávačích
Jak se nazývá zařízení využívající úplný odraz světla?;Optické vlákno;Zrcadlo;Difrakční mřížka;Čočka
Co je lom světla?;Změna směru paprsku na rozhraní dvou prostředí;Zeslabení světla;Pohlcení světla;Odraz světla
