Otazka;Spravna_odpoved;Odpoved_2;Odpoved_3;Odpoved_4
Co je psychologie?;Věda o lidské psychice a chování;Věda o fyzice;Studium chemických prvků;Zkoumání biologických buněk
Které dvě hlavní determinanty ovlivňují lidskou psychiku?;Biologická a sociální;Psychická a technologická;Genetická a kulturní;Biologická a chemická
Co zkoumá biologická determinace psychiky?;Vliv genetiky, nervové soustavy, hormonů;Vztahy mezi lidmi;Historii náboženství;Zákony státu
Co zkoumá sociální determinace psychiky?;Vliv společnosti a mezilidských vztahů;Působení hormonů;Fyzikální zákony;Dědičné choroby
Kdo je zakladatelem psychoanalýzy?;Sigmund Freud;Jean Piaget;Ivan Pavlov;Carl Rogers
Jaký je hlavní předmět psychologie?;Lidská psychika a chování;Historie filozofie;Ekonomické modely;Zákonodárný proces
Jaké disciplíny zahrnuje obecná psychologie?;Vnímání, myšlení, učení, paměť;Fyzika, chemie;Ekonomie, právo;Politologie, historie
Čím se zabývá vývojová psychologie?;Změnami psychiky v průběhu života;Studováním státních systémů;Tvorbou grafických programů;Vývojem tržních strategií
Co zkoumá sociální psychologie?;Vliv společnosti na jednotlivce;Biologické funkce člověka;Historické události;Jazykové jevy
Která disciplína psychologie zkoumá rozdíly mezi lidmi?;Psychologie osobnosti;Obecná psychologie;Sociologie;Politologie
Kdy se psychologie začala formovat jako samostatná věda?;Na konci 19. století;Ve středověku;V době antiky;Po 2. světové válce
Jaký je cíl psychologie?;Porozumět, vysvětlit a ovlivnit lidské chování;Vyrobit elektronické zařízení;Navrhnout právní systém;Vytvořit politickou ideologii
Který psycholog je známý behaviorálním přístupem?;John B. Watson;Sigmund Freud;Abraham Maslow;Jean Piaget
Co je introspekce?;Sebepozorování vlastních psychických stavů;Pozorování jiných lidí;Analýza dat;Studium právního systému
Která oblast psychologie se věnuje pracovnímu prostředí?;Psychologie práce;Klinická psychologie;Vývojová psychologie;Sociální psychologie
Která psychologická disciplína se zaměřuje na duševní poruchy?;Klinická psychologie;Pedagogická psychologie;Vývojová psychologie;Sociální psychologie
Co je předmětem pedagogické psychologie?;Psychické procesy ve vzdělávání;Politické myšlení;Genetické zákonitosti;Pracovní výkon člověka
Jaký význam má psychologie v praxi?;Pomáhá porozumět sobě i druhým;Zajišťuje vývoj hardwaru;Určuje ekonomické zákony;Organizuje státní správu
Která metoda se v psychologii používá k výzkumu chování?;Pozorování;Pokus;Porovnání dat;Statistický výpočet
Jak psychologie přispívá společnosti?;Zlepšuje mezilidské vztahy a duševní zdraví;Zvyšuje výkon počítačů;Řídí bankovní systém;Zajišťuje dodávky energie
