Otazka;Spravna_odpoved;Odpoved_2;Odpoved_3;Odpoved_4
Kdo formuloval speciální teorii relativity?;Albert Einstein;Isaac Newton;Niels Bohr;James Clerk Maxwell
Kdy byla zveřejněna speciální teorie relativity?;1905;1895;1915;1925
Na čem je založena speciální teorie relativity?;Na dvou postulátech: konstantnost rychlosti světla a rovnost fyzikálních zákonů ve všech inerciálních soustavách;Na gravitační síle;Na kvantové teorii;Na teorii elektromagnetismu
Jaká je rychlost světla ve vakuu?;Přibližně 3·10^8 m/s;1·10^6 m/s;10^5 m/s;2,99·10^6 m/s
Co je dilatace času?;Zpomalení plynutí času pro pozorovatele v pohybu;Zrychlení času;Změna směru světla;Rozpad atomu
Co je kontrakce délek?;Zkrácení délky tělesa pohybujícího se vzhledem k pozorovateli;Zvětšení délky tělesa;Rozpad jádra;Ohyb světla
Co je simultánnost v teorii relativity?;Děje, které jsou současné v jedné soustavě, nemusí být současné v jiné;Děje probíhají stejně ve všech soustavách;Všechny časy jsou stejné;Světlo se šíří různě rychle
Jaký slavný vzorec je spojen se speciální teorií relativity?;E = m · c²;F = m · a;U = R · I;p = m · v
Co znamená E = m · c²?;Hmotnost je formou energie;Rychlost je funkcí hmotnosti;Síla je konstantní;Světlo má hmotnost
Jaká veličina zůstává konstantní ve všech inerciálních soustavách?;Rychlost světla;Čas;Délka;Hmotnost
Co jsou inerciální soustavy?;Soustavy pohybující se rovnoměrně přímočaře;Soustavy s proměnlivou rychlostí;Zrychlující se soustavy;Rotující soustavy
Co je důsledkem speciální teorie relativity?;Změna času, délky a relativita současnosti;Změna hmotnosti a barvy;Změna směru gravitace;Zrychlení elektromagnetického pole
Co se děje s hmotností při rychlostech blízkých rychlosti světla?;Relativní hmotnost roste;Hmotnost klesá;Zůstává konstantní;Hmotnost zaniká
Co je relativistická hmotnost?;Hmotnost závislá na rychlosti;Hmotnost závislá na čase;Základní hmotnost tělesa;Ztráta hmotnosti
Jak se měří čas v pohybující se soustavě?;Pomaleji než v klidové;Stejně jako v klidové;Rychleji než v klidové;Zcela náhodně
Jaký je vliv pohybu na pozorovatele?;Měří jiný čas, délku a energii než pozorovatel v klidu;Vidí jinou barvu;Slyší vyšší zvuk;Cítí vyšší teplotu
Co znamená pojem relativita?;Závislost fyzikálních veličin na vztažné soustavě;Změna gravitace;Změna elektrického náboje;Změna objemu látky
Jaký je vztah mezi hmotností a energií?;Jsou si ekvivalentní – lze je přeměnit;Nezávislé veličiny;Závisí na objemu;Působí na gravitační sílu
Který jev potvrzuje dilataci času?;Myony z kosmického záření;Světlo v optickém vlákně;Fotonový rozklad;Gravitační červený posun
Jak se šíří světlo ve všech soustavách podle STR?;Stejnou rychlostí bez ohledu na pohyb zdroje nebo pozorovatele;Rychlost závisí na směru;Rychlost je nulová;Zrychluje s časem
