Otazka;Spravna_odpoved;Odpoved_2;Odpoved_3;Odpoved_4
Co je kinetická teorie látek?;Popisuje látky jako soustavy částic v neustálém pohybu;Popisuje strukturu atomů;Vysvětluje el. proud;Popisuje magnetické pole
Co je vnitřní energie tělesa?;Součet kinetické a potenciální energie částic;Celková elektrická energie;Síla působící mezi atomy;Tlak uvnitř tělesa
Co je teplo?;Energie přenášená mezi tělesy v důsledku teplotního rozdílu;Množství látky;Síla mezi částicemi;Rychlost pohybu částic
Jak se značí teplo?;Q;U;T;W
Jednotka tepla je?;Joule (J);Pascal (Pa);Watt (W);Newton (N)
Co je difúze?;Samovolné pronikání částic jedné látky do druhé;Rozklad látky;Pohyb světla;Změna skupenství
Co je osmotický jev?;Přechod molekul přes polopropustnou membránu;Přechod tepla;Pohyb částic ve vakuu;Tepelná výměna
Co je Brownův pohyb?;Nepravidelný pohyb mikroskopických částic;Pravidelný pohyb plynů;Rotační pohyb molekul;Pohyb fotonů
Co je termodynamická teplota?;Teplota měřená v Kelvinech;Teplota vody;Povrchová teplota;Objemová teplota
Jak se značí termodynamická teplota?;T;t;Q;U
Co je ideální plyn?;Model plynu bez interakcí mezi částicemi;Plyn se stálou teplotou;Zcela stlačitelný plyn;Reálný plyn
Jaký je vztah pro stavovou rovnici ideálního plynu?;p · V = n · R · T;F = m · a;U = Q + W;Q = m · c · Δt
Co je střední kvadratická rychlost?;Průměrná rychlost částic v plynu;Maximální rychlost částic;Rychlost šíření světla;Rychlost ohřevu
Jaké jsou základní typy termodynamických dějů?;Izobarický, izochorický, izotermický, adiabatický;Elektrický, magnetický;Exotermický, endotermický;Rovnoměrný, zrychlený
Co je měrné teplo?;Energie potřebná k ohřevu 1 kg látky o 1 °C;Energie v 1 litru plynu;Plocha látky;Objem látky
Vzorec pro výpočet tepla?;Q = m · c · Δt;Q = F · s;Q = p · V;Q = m / t
Co je fázový diagram?;Grafické znázornění skupenství látky v závislosti na tlaku a teplotě;Mapa plynů;Schéma atomu;Rychlostní diagram
Jak se značí vnitřní energie?;U;Q;W;P
Co je vlhkost vzduchu?;Obsah vodní páry ve vzduchu;Hustota vzduchu;Teplota vzduchu;Tlak ve vzduchu
Při jaké teplotě je voda nejhustší?;Při 4 °C;Při 0 °C;Při 100 °C;Při 20 °C
