Otazka;Spravna_odpoved;Odpoved_2;Odpoved_3;Odpoved_4
Co jsou poznávací procesy?;Procesy získávání a zpracování informací;Procesy svalového napětí;Zpěv a tanec;Dýchání a trávení
Které procesy patří mezi poznávací?;Vnímání, myšlení, paměť, představivost;Stres, agrese, úzkost;Spánek, únava, bdělost;Tlukot srdce, krevní tlak
Co je vnímání?;Proces přijímání informací smysly;Ztráta vědomí;Svalová reakce;Trávicí proces
Jaký je význam paměti v poznávání?;Ukládání a vybavování informací;Změna tělesné teploty;Snížení citlivosti;Zvýšení krevního tlaku
Co je vůle?;Schopnost vědomě řídit své chování;Fyzická síla;Potřeba spánku;Schopnost vidění
Jak se projevuje silná vůle?;Schopností překonat překážky;Tělesnou zdatností;Rychlou chůzí;Spontánním chováním
Co je city?;Prožívání emocí;Analýza dat;Vnější chování;Fyzická výdrž
Jaké známe druhy citů?;Nižší a vyšší;Pozitivní a negativní;Vnější a vnitřní;Slabé a silné
Co jsou vyšší city?;Etické, estetické a intelektuální city;City vzteku;Agresivní reakce;Fyzická bolest
K čemu slouží emoce?;Informují o vztahu člověka ke světu;Zvyšují krevní tlak;Způsobují nemoc;Podporují trávení
Co jsou psychické procesy?;Krátkodobé projevy psychiky;Stavba těla;Fyzická činnost;Dýchání
Co jsou psychické stavy?;Dlouhodobější vnitřní nastavení člověka;Pohyby těla;Krevní obraz;Stav kostí
Jaké známe druhy lidské činnosti?;Práce, učení, hra;Chůze, běh, spánek;Svalový stah, trávení;Snění, vize, odpočinek
Co je práce jako činnost?;Záměrná činnost směřující k cíli;Odpočinek;Nečinnost;Hra ve volném čase
Jaký je význam učení?;Získávání nových vědomostí a dovedností;Relaxace;Dlouhý spánek;Pohyb svalů
Co je hra z pohledu psychologie?;Dobrovolná činnost sloužící k rozvoji osobnosti;Zbytečný pohyb;Náhodné chování;Mechanické reakce
Který pojem označuje schopnost reagovat na podněty?;Reakční doba;Paměť;Etika;Postoj
Co je motivace?;Vnitřní podnět k činnosti;Fyzická aktivita;Pocit žízně;Chladový podnět
Jaké druhy učení rozlišujeme?;Senzomotorické, intelektové, sociální;Fyziologické, chemické;Historické, moderní;Analytické, technické
Jakou roli hrají city při činnosti?;Ovlivňují vztah k činnosti;Zvyšují tlak;Způsobují pohyb;Zpomaluje je dýchání
