Otazka;Spravna_odpoved;Odpoved_2;Odpoved_3;Odpoved_4
Co je hlavním účelem rozmnožovací soustavy?;Zajištění reprodukce;Trávení potravy;Filtrace krve;Řízení nervové činnosti
Které orgány tvoří mužskou rozmnožovací soustavu?;Varle, nadvarle, chámovod, penis;Vaječník, děloha, pochva;Ledvina, močovod;Játra, slezina
Které orgány tvoří ženskou rozmnožovací soustavu?;Vaječník, vejcovod, děloha, pochva;Varle, chámovod, močová trubice;Mléčná žláza, močovod;Dvanáctník, žaludek
Co je oogeneze?;Tvorba vajíček;Tvorba spermií;Tvorba hormonů;Vývoj děložní sliznice
Co je spermatogeneze?;Proces vzniku spermií;Zánik pohlavních buněk;Zrání vajíčka;Vylučování hormonů
Co je gravidita?;Těhotenství – období vývoje plodu;Neplodnost;Pohlavní dospělost;Proces vzniku vajíčka
Jaká je funkce dělohy?;Vývoj a výživa plodu;Produkce pohlavních hormonů;Filtrace moči;Vstřebávání živin
Co je antikoncepce?;Způsob zabránění početí;Typ hormonální léčby;Podpora těhotenství;Lék na pohlavní nemoci
Které nemoci patří mezi pohlavně přenosné?;HIV, syfilis, kapavka;Chřipka, angína, žloutenka A;Opar, kašel, astma;Cukrovka, infarkt, artróza
Co je meióza?;Redukční dělení vedoucí ke vzniku gamet;Dělení somatických buněk;Dělení bez změny počtu chromozomů;Replikace DNA
