Otazka;Spravna_odpoved;Odpoved_2;Odpoved_3;Odpoved_4
"Co jsou h-parametry?";"Diferenciální parametry popisující chování bipolárního tranzistoru v lineárním režimu";"Parametry pro řízení napájení";"Parametry pro optimalizaci teploty procesoru";"Parametry pro grafické zpracování"
"Jaký je význam h-parametru h11?";"Udává vstupní odpor tranzistoru při konstantním výstupním napětí";"Udává frekvenci tranzistoru";"Udává výkon tranzistoru";"Udává teplotní stabilitu"
"Jaký je význam h-parametru h12?";"Udává vliv změny výstupního napětí na vstupní proud";"Udává proudové zesílení tranzistoru";"Udává napěťový zisk tranzistoru";"Udává výkonové ztráty"
"Jaký je význam h-parametru h21?";"Udává poměr změny výstupního a vstupního proudu";"Udává kapacitní ztráty";"Udává napěťový přenos";"Udává teplotní stabilitu"
"Jaký je význam h-parametru h22?";"Udává změnu výstupního proudu při změně výstupního napětí";"Udává maximální výkon tranzistoru";"Udává teplotní stabilitu";"Udává napěťovou citlivost"
"K čemu slouží náhradní schéma tranzistoru?";"K usnadnění analýzy tranzistoru v zapojení";"K měření teploty tranzistoru";"K optimalizaci chlazení";"K propojení tranzistoru s grafickou kartou"
"Jaké jsou typické oblasti výstupních charakteristik tranzistoru?";"Aktivní, saturační, uzavírací";"Lineární, nelineární, stabilní";"Vstupní, výstupní, přechodová";"Hlavní, vedlejší, přídavná"
"V jaké oblasti výstupních charakteristik tranzistor pracuje jako zesilovač?";"V aktivní oblasti";"V saturační oblasti";"V uzavírací oblasti";"V přechodové oblasti"
"Jak se měří výstupní charakteristiky tranzistoru?";"Nastavením různých hodnot báze a měřením IC při různých VCE";"Nastavením konstantního proudu a měřením teploty";"Použitím osciloskopu a analýzou frekvence";"Nastavením stálého napětí a měřením výkonu"
"Co popisují voltampérové charakteristiky?";"Závislost proudu na napětí";"Závislost teploty na frekvenci";"Závislost výkonu na odporu";"Závislost napětí na výkonu"
"Jaký je tvar VA charakteristiky rezistoru?";"Přímka odpovídající Ohmovu zákonu";"Parabolická křivka";"Smyčka hystereze";"Nelineární exponenciála"
"Jaký je tvar VA charakteristiky diody?";"Nelineární křivka s propustným a závěrným stavem";"Přímka procházející počátkem";"Parabolická závislost";"Sinusová křivka"
"Jaký je hlavní rozdíl mezi lineární a nelineární součástkou?";"Lineární součástka má přímkovou VA charakteristiku, nelineární má zakřivenou";"Lineární součástka mění barvu při zatížení";"Nelineární součástka vždy generuje šum";"Lineární součástka mění proud podle teploty"
"Jaká je hlavní výhoda použití h-parametrů?";"Usnadňují analýzu a návrh zesilovačů";"Zlepšují účinnost chlazení";"Snižují napěťové ztráty";"Zvyšují maximální výkon tranzistoru"
"Co popisují výstupní charakteristiky tranzistoru?";"Závislost kolektorového proudu na kolektorovém napětí při různých hodnotách základního proudu";"Závislost napětí na frekvenci";"Závislost proudu na teplotě";"Závislost výkonu na odporu"
"Co je účelem měření výstupních charakteristik tranzistoru?";"Určit pracovní oblast a vlastnosti tranzistoru";"Změřit maximální frekvenci tranzistoru";"Určit teplotní stabilitu";"Optimalizovat grafické zpracování"
"Jaké jsou hlavní metody měření VA charakteristik?";"Osciloskop a multimetr";"Teploměr a ohmmetr";"Digitální váha a barometr";"Infračervený senzor a fotodioda"
"Jaký je hlavní účel grafu VA charakteristiky?";"Vizualizovat závislost proudu na napětí";"Vizualizovat závislost frekvence na teplotě";"Vizualizovat závislost výkonu na odporu";"Vizualizovat závislost teploty na výkonu"
"Jaký je hlavní význam h-parametru hfe?";"Udává proudové zesílení tranzistoru";"Udává napěťový úbytek";"Udává tepelnou vodivost";"Udává kapacitní indukci"
