Otazka;Spravna_odpoved;Odpoved_2;Odpoved_3;Odpoved_4
Co je karboxylová kyselina?;Organická kyselina obsahující skupinu -COOH;Amin;Alken;Ester
Jaké jsou typy derivátů karboxylových kyselin?;Estery, amidy, halogenidy, anhydridy;Alkoholy, aldehydy;Fenoly, ketony;Alkany, alkeny
Jaký je obecný vzorec esteru?;R-COO-R';R-COOH;R-NH₂;R-OH
Jak se tvoří ester?;Reakcí karboxylové kyseliny s alkoholem;Reakcí ketonu s vodou;Hydratací alkenu;Neutralizací kyseliny
Jaká je vlastnost esterů?;Vonné látky, méně polární;Těžké, kovové;Vysoce reaktivní;Výbušné
K čemu se používají estery?;Parfémy, potravinářství;Katalyzátory;Ocel;Rozpouštědla kovů
Co je amid?;Sloučenina s -CONH₂ skupinou;Ester kyseliny;Halogenid uhlíku;Kyselina
Jaký derivát obsahuje močovina?;Amid;Ester;Anhydrid;Halogenid
Co je fosgen?;Derivát kyseliny uhličité – COCl₂;Kyslík;Oxid uhličitý;Halogenid sirovodíku
Jaký je obecný vzorec arenů?;C₆H₆ a jeho deriváty;R-COOH;CH₃CH₂OH;R-NH₂
Jaký je příklad arenů?;Benzen;Ethan;Methan;Aceton
Co je podmínkou aromaticity?;Planární molekula s delokalizovanými π elektrony;Existence dvojných vazeb;Nezávislé kruhy;Nelineární řetězce
Jaký test se používá pro detekci aromaticity?;Reakce s bromem;Plamenová zkouška;Tollensův test;Fehlingův test
Jaká je reakce charakteristická pro areny?;Elektrofilní substituce;Adice;Eliminace;Redukce
Jaký je produkt nitrace benzenu?;Nitrobenzen;Benzaldehyd;Toluén;Anilin
Co vzniká sulfonací benzenu?;Benzen-sulfonová kyselina;Anilin;Fenol;Benzylalkohol
Jaké je využití arenů?;Výroba plastů, léčiv, barviv;Hnojiva;Zásady;Karbonizace uhlí
Co je toluen?;Methylbenzen;Nitrobenzen;Hydroxybenzen;Ethen
Jaká je vlastnost benzenového jádra?;Delokalizace elektronů, stabilita;Silná zásaditost;Nestabilita;Vysoce iontová vazba
Který derivát karboxylové kyseliny má významné použití jako léčivo?;Aspirin (kyselina acetylsalicylová);Ethanal;Aceton;Kyselina sírová
