Otázka;Správná odpověď;Možnost 1;Možnost 2;Možnost 3;Možnost 4
Co je algoritmus?;Jednoznačně definovaný postup k řešení problému;Programovací jazyk;Hardwarová komponenta;Uživatelské rozhraní;Definice problému
Která vlastnost algoritmu zajišťuje, že vždy skončí?;Konečnost;Jednoznačnost;Elementárnost;Obecnost;Výpočetní složitost
Jak se nazývá algoritmus, který volá sám sebe?;Rekurzivní algoritmus;Iterativní algoritmus;Lineární algoritmus;Podmíněný algoritmus;Paralelní algoritmus
Co je to program?;Implementace algoritmu v programovacím jazyce;Grafický diagram;Databázový systém;Hardwarová struktura;Sada instrukcí
Co je zdrojový kód?;Sekvence instrukcí v konkrétním programovacím jazyce;Textová dokumentace programu;Výsledný strojový kód;Grafický diagram;Uživatelská příručka
Jaký je rozdíl mezi funkcí a metodou v OOP?;Metoda je funkce definovaná uvnitř třídy;Metoda je funkce s více parametry;Funkce nemá návratovou hodnotu;Metoda nelze volat opakovaně;Neexistuje rozdíl
K čemu slouží proměnná?;Ukládá hodnotu v paměti pro další použití;Zajišťuje běh programu;Kompiluje zdrojový kód;Monitoruje výkon aplikace;Tiskne text
Co určuje datový typ?;Jaký typ dat může proměnná obsahovat;Strukturu vývojového diagramu;Výkon programu;Rychlost kompilace;Vzhled GUI
Co je to smyčka (loop)?;Opakování části programu;Podmíněné větvení programu;Výpočetní proces;Zastavení programu;Náhodný běh kódu
Co je pole (array)?;Datová struktura ukládající více hodnot pod jedním jménem;Matematická funkce;OOP metoda;Podmíněný výraz;Textový řetězec
Co je to debugging?;Proces hledání a opravování chyb v programu;Proces optimalizace výkonu;Spouštění programu;Testování uživatelského rozhraní;Distribuce programu
Co je kompilace?;Převod zdrojového kódu do strojového kódu;Převod dat do formátu JSON;Optimalizace algoritmu;Vykonávání kódu přímo;Generování dokumentace
Co znamená optimalizace programu?;Zlepšení výkonu nebo efektivity;Přidání nových funkcí;Odstranění chybných dat;Zvýšení počtu řádků kódu;Zmenšení počtu řádků kódu
Co je vývojový diagram?;Grafické znázornění algoritmu;Výsledný zdrojový kód;Struktura třídy v OOP;Sada testovacích případů;Popis databáze
Co je iterativní algoritmus?;Opakovaně provádí určité kroky;Volá sám sebe;Provádí kroky v náhodném pořadí;Větví se podle podmínek;Běží jen jednou
Jaká je hlavní výhoda používání funkcí?;Znovupoužitelnost kódu;Zpomalení běhu programu;Snížení čitelnosti;Nárůst paměťové náročnosti;Žádná výhoda
Co je to syntaktická chyba?;Chyba v zápisu kódu;Chyba ve výsledku algoritmu;Chyba v uživatelském rozhraní;Chyba v hardwaru;Chyba v datech
Jaký je hlavní rozdíl mezi kompilací a interpretací?;Kompilace překládá do strojového kódu, interpretace vykonává přímo;Interpretace je vždy rychlejší než kompilace;Kompilace vyžaduje internetové připojení;Interpretace vytváří spustitelný soubor;Jsou stejné
Co je objekt v OOP?;Entita s vlastnostmi a metodami;Výsledek ladění;Datová struktura;Algoritmická smyčka;Soubor s daty
Co je třída v OOP?;Šablona pro vytvoření objektů;Funkce s více parametry;Metoda pro zpracování dat;Podmínka pro rozhodování;Instance objektu
