Otazka;Spravna_odpoved;Odpoved_2;Odpoved_3;Odpoved_4
Jaký byl základní prvek řecké společnosti?;Polis (městský stát);Království;Republika;Císařství
Které městské státy byly nejvýznamnější v antickém Řecku?;Athény a Sparta;Řím a Kartágo;Babylon a Théby;Alexandrie a Memfis
Jaký typ vlády měly Athény v 5. století př. n. l.?;Demokracie;Monarchie;Despocie;Teokracie
Co bylo hlavním rysem spartské společnosti?;Vojenská kázeň a disciplína;Obchod a námořnictví;Demokratické volby;Kolonizace světa
Kdo byl nejvýznamnějším vůdcem Athén během zlatého věku?;Perikles;Sokrates;Aristoteles;Leonidas
Kdo byli Heléni?;Starověcí Řekové;Římané;Egypťané;Peršané
Jaký vliv měla řecká kolonizace?;Šíření kultury a obchodu;Rozpad polis;Zánik měst;Podpora despocie
Kdo byl zakladatelem filozofie v Řecku?;Sokrates;Platon;Aristoteles;Diogenes
Kdo napsal díla Ilias a Odyssea?;Homér;Hésiodos;Plutarchos;Aristofanés
Které války byly vedeny mezi Řeckem a Persií?;Řecko-perské války;Peloponéská válka;Púnské války;Války o dědictví
Kde se konaly první olympijské hry?;V Olympii;V Athénách;Ve Spartě;V Delfách
Kdo byl vítěz u Marathónu roku 490 př. n. l.?;Řekové;Peršané;Spartští spojenci;Kartáginci
Jak skončila bitva u Thermopyl?;Peršané zvítězili, ale s velkými ztrátami;Řekové zvítězili;Nerozhodně;Perský král padl
Co bylo výsledkem peloponéské války?;Sparta porazila Athény;Athény porazily Spartu;Řecko se sjednotilo;Vznik římské říše
Kdo byl Alexandr Veliký?;Makedonský vojevůdce a dobyvatel;Král Athén;Spartský generál;Filozof z Delf
Jaké bylo hlavní centrum řeckého náboženství?;Delfy;Sparta;Marathón;Olympie
Jak se jmenuje slavný chrám na athénské Akropoli?;Parthenón;Pantheon;Koloseum;Agora
Co bylo typické pro řecké divadlo?;Tragédie a komedie;Opery;Církevní hry;Stínové loutky
Jaký typ architektury vytvořili Řekové?;Dórský, iónský a korintský sloh;Gotika a baroko;Románský a renesanční styl;Perské chrámy
Jak skončila samostatnost řeckých městských států?;Byly podrobeny Římem;Spojily se do jednoho státu;Byly zničeny Peršany;Byly podmaněny Egyptem
