Otazka;Spravna_odpoved;Odpoved_2;Odpoved_3;Odpoved_4
Co zkoumá sociologie?;Společnost a její strukturu, vztahy a procesy;Zákony přírody;Historii umění;Chemické sloučeniny
Kdy vznikla sociologie jako samostatná věda?;V 19. století;V 16. století;Ve středověku;Ve 20. století
Kdo je považován za zakladatele sociologie?;Auguste Comte;Sigmund Freud;Karl Marx;Aristoteles
Jaké jsou základní metody sociologického výzkumu?;Pozorování, rozhovor, dotazník, analýza dokumentů;Pitva, RTG, EKG;Experiment, pokus;Statistický výpočet
Co je sociální stratifikace?;Rozvrstvení společnosti podle určitých kritérií;Rozdělení atomů;Typ politické ideologie;Způsob výpočtu daní
Co je sociální nerovnost?;Rozdíly v přístupu ke statkům a příležitostem;Nerovnost chemických prvků;Rozdíl v kvalitě vody;Neshody v jazyce
Co je sociální mobilita?;Pohyb jedince mezi společenskými vrstvami;Pohyb tělesa;Změna barvy vlasů;Změna počasí
Jaké typy sociální mobility existují?;Vertikální a horizontální;Pozitivní a negativní;Stabilní a nestabilní;Rychlá a pomalá
Co je sociální norma?;Pravidlo chování v dané společnosti;Pravidlo matematické rovnice;Zákon o fyzice;Hudební notace
K čemu slouží sociální kontrola?;Udržuje společenský řád;Změní chemické vlastnosti;Reguluje počasí;Upravuje právní normy
Co je sociální deviance?;Odchylka od společenských norem;Odchylka v barvě očí;Změna teploty;Změna režimu
Jaké známe formy sociální kontroly?;Formální a neformální;Právní a chemická;Vizuální a zvuková;Přímá a nepřímá
Co je sociální konflikt?;Střet protichůdných zájmů;Spojení dvou teorií;Hádka o barvu;Změna podnebí
Jaké jsou typické projevy sociální patologie?;Zločinnost, závislosti, bezdomovectví;Vědecké objevy;Vývoj sportu;Rozvoj umění
Jaké jsou současné problémy společnosti?;Chudoba, nezaměstnanost, klimatická změna;Zvýšená gravitace;Růst stromů;Snížený tlak vzduchu
Co je sociální skupina?;Skupina lidí se společným cílem nebo vlastností;Shluk molekul;Druh počasí;Typ nemoci
Co znamená pojem sociální status?;Postavení jedince ve společnosti;Výška člověka;Vzdělávací úroveň školy;Teplota prostředí
Co je kulturní kapitál?;Znalosti, dovednosti a vzdělání;Měna v Evropě;Zásoby potravin;Peníze ve státní kase
Jaký je rozdíl mezi sociální rolí a statusem?;Role je očekávané chování, status je pozice;Status je chování, role je barva;Žádný rozdíl;Role je fyzický znak
Proč je sociologie důležitá?;Pomáhá pochopit fungování společnosti;Učí, jak programovat;Řídí dopravu;Zajišťuje léčbu nemocí
