Otazka;Spravna_odpoved;Odpoved_2;Odpoved_3;Odpoved_4
Kdo byl Immanuel Kant?;Německý filosof osvícenství, autor tří kritik;Francouzský císař;Římský voják;Řecký básník
Co je hlavní myšlenkou Kantovy Kritiky čistého rozumu?;Poznání vzniká spojením zkušenosti a rozumu;Poznání je vrozené;Poznání je zbytečné;Poznání je dar od boha
Co znamená kategorický imperativ?;Jednej tak, aby se tvé jednání mohlo stát obecným zákonem;Zákon o školství;Příkaz prezidenta;Vědecká teorie
Co je německý idealismus?;Filosofický směr zdůrazňující roli vědomí a ducha;Víra v německé výrobky;Nacionalistické hnutí;Teorie o říši
Kdo byl Georg Wilhelm Friedrich Hegel?;Německý filosof, autor dialektiky a idealismu;Italský básník;Řecký matematik;Hudebník
Co je Hegelova dialektika?;Proces vývoje skrze tezi, antitezi a syntézu;Zákon o volbách;Matematická rovnice;Ekonomická teorie
Kdo byl Arthur Schopenhauer?;Představitel voluntarismu, zdůrazňoval vůli jako základ světa;Zakladatel empirismu;Řecký tragéd;Francouzský osvícenec
Co znamená pojem 'vůle' u Schopenhauera?;Základní hnací síla světa a člověka;Politická vůle;Přání dětí;Zákon přírody
Kdo byl Friedrich Nietzsche?;Filosof, autor pojmů 'nadčlověk', 'vůle k moci', 'smrt Boha';Římský vojevůdce;Zakladatel církve;Slavný lékař
Co znamená Nietzscheho 'smrt Boha'?;Ztráta tradičních hodnot a víry ve vyšší autoritu;Zničení kostela;Pád říše;Zákaz náboženství
Co je 'vůle k moci' podle Nietzscheho?;Hnací síla člověka překonávat překážky a sám sebe;Touha po penězích;Vojenské nařízení;Zákon džungle
Kdo byl Karl Marx?;Filosof, autor materialistického pojetí dějin;Římský právník;Německý císař;Hudební skladatel
Co znamená historický materialismus?;Teorie, že vývoj společnosti je určen materiálními podmínkami;Teorie o hudbě;Pravidlo pro výuku;Model planet
Jaký je vztah mezi Marxem a Hegelem?;Marx převzal dialektiku a použil ji materialisticky;Byli bratři;Založili školu;Nevěděli o sobě
Co je utopický socialismus?;Představa ideální společnosti bez tříd a vykořisťování;Politický systém demokracie;Systém hlasování;Ekonomická daň
Jaký byl význam těchto filosofů?;Ovlivnili moderní filosofii, politiku a společnost;Založili nová města;Objevili léky;Změnili školství
Co je romantismus ve filosofii?;Zaměření na city, přírodu, individualitu;Hnutí za rovnost;Ekonomická reforma;Teorie atomu
Kdo byl významný romantický filosof?;Friedrich Schelling;Voltaire;J. Locke;I. Newton
Co znamená 'fenomenologie ducha'?;Hegelovo dílo o vývoji vědomí;Biblický zákon;Školní učebnice;Hudební symfonie
Proč je období 19. století významné pro filosofii?;Vznikaly nové směry reagující na průmyslovou revoluci a moderní společnost;Vymizela filosofie;Vznikla jen náboženství;Byly zakázány knihy
