Otazka;Spravna_odpoved;Odpoved_2;Odpoved_3;Odpoved_4
"Co je OOP?";"Objektově orientované programování";"Operační systém";"Optimalizace výkonu";"Online přenos dat"
"Jaký je hlavní koncept OOP?";"Práce s objekty a třídami";"Řízení přístupu k síti";"Zpracování textových souborů";"Vykreslování grafiky"
"Co je třída v OOP?";"Šablona nebo návrh objektu";"Přímá instance objektu";"Vykreslovací komponenta";"Databázová tabulka"
"Co je objekt v OOP?";"Konkrétní instance třídy";"Modul pro vykreslování";"Grafický prvek";"Datový typ"
"Jaký je klíčový znak OOP?";"Zapouzdření, dědičnost, polymorfismus";"Vyhledávání dat";"Čtení souborů";"Generování grafiky"
"Co je zapouzdření?";"Skrytí vnitřní implementace a vystavení rozhraní";"Kombinace dvou proměnných";"Vykreslování obrázků";"Ukládání dat do databáze"
"Jaký je účel dědičnosti v OOP?";"Dědit vlastnosti a metody základní třídy";"Ukládat data do souborů";"Vyhledávat informace na internetu";"Přenášet data po síti"
"Co je polymorfismus?";"Schopnost používat metody různých typů s jednotným rozhraním";"Dělení dat na segmenty";"Výpočet aritmetického průměru";"Rozdělení aplikace na moduly"
"Jaký modifikátor přístupu určuje, že metoda je dostupná pouze uvnitř třídy?";"private";"public";"protected";"internal"
"Jaký modifikátor přístupu umožňuje přístup i v potomcích třídy?";"protected";"private";"public";"sealed"
"Co je to konstruktor?";"Speciální metoda pro inicializaci objektu";"Metoda pro uvolnění paměti";"Metoda pro vykreslení grafiky";"Metoda pro načtení souboru"
"Jak se vytváří objekt třídy?";"Pomocí klíčového slova 'new'";"Pomocí klíčového slova 'create'";"Pomocí klíčového slova 'object'";"Pomocí klíčového slova 'var'"
"Jaká je syntaxe vytvoření objektu?";"Person person = new Person();";"Person person();";"create Person();";"new object Person();"
"Jaký je rozdíl mezi třídou a objektem?";"Třída je šablona, objekt je instance";"Třída je proměnná, objekt je konstanta";"Třída je metoda, objekt je funkce";"Třída je knihovna, objekt je soubor"
"Co znamená přetížení metody (overloading)?";"Metody se stejným názvem, ale s různými parametry";"Přepsání metody v potomkovi";"Volání metody z jiné třídy";"Kombinace metod do jedné"
"Jak se vytváří dědičnost v C#?";"Pomocí dvojtečky (:)";"Pomocí klíčového slova 'extends'";"Pomocí operátoru '+'";"Pomocí klíčového slova 'inherits'"
"Jaký je účel klíčového slova 'virtual'?";"Umožňuje přepsání metody v odvozené třídě";"Zajišťuje přístup k souborům";"Deklaruje statickou metodu";"Vytváří novou instanci objektu"
"Jaký je účel klíčového slova 'override'?";"Přepsání metody v odvozené třídě";"Vytváření nové metody";"Vyhledávání proměnných";"Deklarace proměnných"
"Co znamená klíčové slovo 'base'?";"Odkazuje na základní třídu";"Vytváří nový objekt";"Načítá data z databáze";"Ukládá data do souboru"
"Co znamená klíčové slovo 'this'?";"Odkazuje na aktuální instanci třídy";"Vytváří nový objekt";"Připojuje se k databázi";"Inicializuje grafický objekt"
"Jak se nazývá schopnost jedné metody reagovat různě na základě kontextu?";"Polymorfismus";"Zapouzdření";"Dědičnost";"Modularita"
"Jaká metoda se volá při vytvoření objektu?";"Konstruktor";"Main";"Dispose";"Finalize"
"Co znamená přístupový modifikátor 'public'?";"Metoda nebo vlastnost je přístupná odkudkoli";"Přístup pouze v rámci třídy";"Přístup pouze v rámci sestavení";"Přístup pouze v odvozených třídách"
"Jakou metodou můžeme přepsat metodu základní třídy?";"override";"virtual";"sealed";"private"
"Jaký klíčový znak třídy značí, že třída nemůže být dále děděna?";"sealed";"virtual";"abstract";"override"
"Jaký je účel klíčového slova 'abstract'?";"Označuje metodu nebo třídu, která nemůže být instancována";"Vytváří dynamickou proměnnou";"Vykresluje grafický objekt";"Označuje metodu s návratovou hodnotou"
"Co znamená zapouzdření?";"Skrytí interních dat a vystavení veřejného rozhraní";"Kombinace více metod do jedné";"Propojení několika tříd";"Přetížení metod"
"Jaký klíčový znak třídy značí, že metody musí být implementovány v potomcích?";"abstract";"virtual";"sealed";"static"
"Jak vytvoříme instanci třídy 'Car'?";"Car myCar = new Car()";"new Car myCar()";"Car()";"Car myCar = Car()"
"Jaký přístupový modifikátor umožňuje přístup pouze v rámci stejného projektu?";"internal";"public";"private";"protected"
