Otazka;Spravna_odpoved;Odpoved_2;Odpoved_3;Odpoved_4
Co je feudalismus?;Společenský systém založený na lenní závislosti;Demokratická vláda;Obchodní spolky;Systém městské samosprávy
Jak se nazýval vztah mezi lenním pánem a vazalem?;Lenní vztah;Obchodní dohoda;Smlouva o přátelství;Klerikální smlouva
Jaký stát vznikl jako první jednotná monarchie v západní Evropě?;Francie;Německo;Itálie;Španělsko
Který panovník položil základy francouzské monarchie?;Hugo Kapet;Karel Veliký;Fridrich I. Barbarossa;Ludvík IX.
Jak se jmenoval základní dokument o právech anglické šlechty z roku 1215?;Magna Charta Libertatum;Zlatá bula sicilská;Dekret kutnohorský;Verdunská smlouva
Kdo byl autorem Magna Charty?;Jan Bezzemek (Johann Bezzemek);Vilém Dobyvatel;Richard Lví srdce;Edward I.
Jak se jmenoval první král Anglie po dobytí Normanů?;Vilém Dobyvatel;Jan Bezzemek;Richard III.;Henrich VIII.
Co bylo hlavním znakem rozvinutého feudalismu?;Hierarchická společnost a zemědělská ekonomika;Přímá volba vládce;Rozvoj průmyslu;Obchodní republika
Kdo měl největší moc ve feudální hierarchii?;Král;Vazal;Měšťan;Sedlák
Jaká byla hlavní povinnost vazala vůči lennímu pánovi?;Vojenská služba;Daňová povinnost;Náboženská služba;Výuka dětí
Jak se nazývaly pozemky, které poskytoval lenní pán?;Léna;Statky;Císařství;Provincie
Co bylo hlavním ekonomickým pilířem feudalismu?;Zemědělství;Průmysl;Obchod;Bankovnictví
Jaké obyvatelstvo tvořilo nejnižší vrstvu ve feudální společnosti?;Poddaní;Šlechta;Duchovenstvo;Obchodníci
Která třída měla duchovní moc?;Církev;Králové;Vazalové;Řemeslníci
Jaký typ správy se uplatňoval ve feudální monarchii?;Decentralizace moci;Centralizovaná byrokracie;Přímá demokracie;Obecní správa
Jaký typ stavů tvořil feudální společnost?;Duchovenstvo, šlechta, poddaní;Vědci, měšťané, vojáci;Král, obchodníci, námořníci;Politici, rolníci, podnikatelé
Co označuje pojem investitura?;Dosazení duchovního do úřadu;Svatba krále;Odevzdání lén;Založení města
Jaký význam měla bitva u Hastingsu (1066)?;Založení normanské dynastie v Anglii;Rozpad franské říše;Zničení Vikingů;Sjednocení Itálie
Jak se nazývala dynastie vládnoucí ve Francii po roce 987?;Kapetovci;Karlovci;Habsburkové;Plantageneti
Který stát byl v době rozvinutého feudalismu rozdělen na řadu menších knížectví?;Německá říše;Anglie;Francie;Španělsko
