Otazka;Spravna_odpoved;Odpoved_2;Odpoved_3;Odpoved_4
Kdy probíhala třicetiletá válka?;1618–1648;1600–1650;1620–1655;1588–1640
Která událost odstartovala třicetiletou válku?;Pražská defenestrace;Bitva u Moháče;Objevení Ameriky;Vestfálský mír
Kolik fází měla třicetiletá válka?;4;3;5;2
Jaké byly fáze třicetileté války?;Česká, Falcká, Švédská, Španělská;Francouzská, Polská, Německá, Italská;Uherská, Anglická, Švédská, Ruská;Ruská, Německá, Italská, Anglická
Kdo byl hlavním vojevůdcem císařské armády během války?;Albrecht z Valdštejna;Jan Žižka;Richelieu;Fridrich Falcký
Jaký stát se stal hlavním odpůrcem Habsburků ve válce?;Švédsko;Rusko;Polsko;Anglie
Kdo vedl švédské vojsko v Evropě?;Gustav II. Adolf;Karel XII.;Vasa Erik;Olaf Skjöld
Který francouzský kardinál sehrál významnou roli ve válce?;Richelieu;Mazarin;Laval;Colbert
Jaký mír ukončil třicetiletou válku?;Vestfálský mír;Vídeňský mír;Tordesillaská dohoda;Pařížská smlouva
Kdy byl uzavřen Vestfálský mír?;1648;1620;1618;1655
Jaký vliv měl Vestfálský mír na Evropu?;Zavedl princip státní suverenity;Založil OSN;Způsobil pád Francie;Ukončil všechny války
Které státy posílily svou moc po válce?;Francie a Švédsko;Čechy a Polsko;Itálie a Portugalsko;Turecko a Dánsko
Jaké důsledky měla válka pro české země?;Oslabení, rekatolizace, ztráta autonomie;Rozvoj průmyslu;Zvýšení samosprávy;Příliv emigrantů
Který rod upevnil svou moc po válce?;Habsburkové;Jagellonci;Valoisové;Plantageneti
Jak se změnila Evropa po roce 1648?;Začal vznik moderních států;Byla sjednocena v impérium;Zanikly hranice;Převládlo otroctví
Jaký stát získal Alsasko po válce?;Francie;Španělsko;Německo;Itálie
Které státy tvořily Svatou říši římskou během války?;Desítky německých států;Tři monarchie;Pouze Čechy a Morava;Francie a Itálie
Jaký byl vliv války na obyvatelstvo Evropy?;Obrovské ztráty a úpadek;Růst porodnosti;Větší mobilita;Rozvoj vzdělanosti
Který panovník vládl ve Francii po válce?;Ludvík XIV.;Jindřich IV.;Filip II.;Ferdinand III.
Která válka následovala brzy po třicetileté?;Válka o španělské dědictví;Stoletá válka;Sedmiletá válka;Napoleonské války
