Otazka;Spravna_odpoved;Odpoved_2;Odpoved_3;Odpoved_4
Jaký typ dýchání mají vzdušnicovci?;Dýchají pomocí vzdušnic (trachejí);Dýchají žábrami;Dýchají kůží;Dýchají plicními vaky
Které skupiny patří mezi vzdušnicovce?;Hmyz, stonožky, mnohonožky;Pavouci a krabi;Ryby a plazi;Houby a lišejníky
Co je hemimetabolie?;Vývoj hmyzu s nymfou podobnou dospělci;Vývoj přes larvu a kuklu;Nepřímý vývoj s metamorfozou;Vývoj s pupením
Co je holometabolie?;Vývoj přes larvu, kuklu a dospělce;Přímý vývoj bez změn;Vývoj s nymfou;Vývoj z vajíčka přímo v dospělce
K čemu slouží tracheje u vzdušnicovců?;Přivádí kyslík přímo k buňkám;Filtrují vodu;Přenášejí potravu;Slouží k termoregulaci
Jaký typ kostry mají ostnokožci?;Vnitřní kostru z vápenitých destiček;Chitinový exoskelet;Žádnou;Kostru z kolagenu
Jak se pohybují ostnokožci?;Pomocí ambulakrální soustavy;Pomocí svalů;Pomocí bičíků;Pomocí trubicových končetin
Kde žijí ostnokožci?;Výhradně v moři;Na souši;V jezerech;V řekách
Který živočich je ostnokožec?;Hvězdice;Kreveta;Ropucha;Včela
Jaký význam mají ostnokožci?;Jsou důležití pro výzkum evoluce a regenerace;Tvoří ropu;Znečišťují vodu;Tvoří půdu
