Otazka;Spravna_odpoved;Odpoved_2;Odpoved_3;Odpoved_4
"Co je operační zesilovač (OZ)?";"Integrovaný obvod, který zesiluje rozdíl mezi dvěma vstupy";"Zařízení pro chlazení procesoru";"Grafická karta pro rendering";"Disk pro ukládání dat"
"Jaká je ideální hodnota vstupního odporu operačního zesilovače?";"Nekonečně vysoký";"Nulový";"1 kΩ";"10 kΩ"
"Jaké je zesílení invertujícího zesilovače?";"−R2/R1";"R1/R2";"1+R2/R1";"R2/R1"
"Jaké je zesílení neinvertujícího zesilovače?";"1+R2/R1";"−R2/R1";"R1/R2";"R2/R1"
"Jaký je výstupní signál invertujícího zesilovače?";"Fázově obrácený";"Ve stejné fázi";"Zesílený, ale bez obrácení";"Stabilizovaný"
"Jaký je výstupní signál neinvertujícího zesilovače?";"Ve stejné fázi jako vstup";"Fázově obrácený";"Zeslabený";"Nestabilizovaný"
"Co je kladná zpětná vazba?";"Zvyšuje zesílení a používá se v oscilátorech";"Snižuje šum";"Stabilizuje výstupní napětí";"Snižuje výkonové ztráty"
"Co je záporná zpětná vazba?";"Snižuje zesílení a zlepšuje stabilitu";"Zvyšuje výkon procesoru";"Optimalizuje grafické vykreslování";"Zlepšuje účinnost napájecího zdroje"
"Jaký je účel vstupního stupně operačního zesilovače?";"Porovnává a zesiluje rozdíl mezi vstupy";"Stabilizuje výstupní napětí";"Omezuje šum";"Spravuje napájení"
"Jaká je hlavní funkce výstupního stupně operačního zesilovače?";"Dodat signál s nízkým výstupním odporem";"Zesílit vstupní signál";"Stabilizovat teplotu";"Optimalizovat spotřebu"
"K čemu slouží sumační zesilovač?";"Zesiluje a sčítá více vstupních signálů";"Generuje logický výstup";"Měří frekvenci signálu";"Odměřuje časové intervaly"
"Jaký je princip derivačního zesilovače?";"Výstupní napětí je úměrné derivaci vstupního signálu";"Výstupní napětí je úměrné integrálu vstupního signálu";"Výstupní napětí je konstantní";"Výstupní napětí je vždy nulové"
"Co je integrační zesilovač?";"Realizuje matematickou integraci vstupního signálu";"Zesiluje signál pro grafické zpracování";"Zajišťuje nízké výstupní napětí";"Stabilizuje napětí v síti"
"Jaká je hlavní funkce komparátoru?";"Porovnává dva signály a generuje logický výstup";"Zesiluje zvukový signál";"Měří teplotu součástky";"Zajišťuje chlazení procesoru"
"K čemu slouží dolní propust?";"Propouští nízké frekvence a potlačuje vysoké";"Propouští vysoké frekvence a potlačuje nízké";"Zesiluje pouze zvukové signály";"Filtruje obrazové artefakty"
"K čemu slouží horní propust?";"Propouští vysoké frekvence a potlačuje nízké";"Propouští nízké frekvence a potlačuje vysoké";"Zesiluje video signály";"Filtruje teplotní šum"
"Jaký je hlavní účel záporné zpětné vazby?";"Zlepšit stabilitu a linearitu zesilovače";"Zvýšit rychlost grafického vykreslování";"Optimalizovat výkon chlazení";"Snížit spotřebu energie"
"Co způsobuje kladná zpětná vazba?";"Oscilace nebo klopné obvody";"Stabilizaci napětí";"Snížení výkonu";"Zvýšení chlazení"
"Jaký je hlavní rozdíl mezi kladnou a zápornou zpětnou vazbou?";"Kladná zpětná vazba zvyšuje zesílení, záporná ho snižuje";"Kladná zpětná vazba snižuje teplotu, záporná ji zvyšuje";"Záporná zpětná vazba optimalizuje výkon procesoru";"Kladná zpětná vazba snižuje šum"
"Jaký je princip práce diferenciálního zesilovače?";"Zesiluje rozdíl mezi dvěma vstupními signály";"Sčítá vstupní signály";"Stabilizuje výstupní napětí";"Filtruje vysoké frekvence"
