Otazka;Spravna_odpoved;Odpoved_2;Odpoved_3;Odpoved_4
"Co je polovodič?";"Materiál s vodivostí mezi vodiči a izolanty";"Čistý vodič";"Izolant";"Dielektrikum"
"Co je to dopování polovodiče?";"Přidání nečistot ke zvýšení vodivosti";"Snižování teploty polovodiče";"Zvyšování napětí v obvodu";"Spojování dvou vodičů"
"Co tvoří PN přechod?";"Spojení P- a N-typu polovodiče";"Spojení dvou vodičů";"Spojení dvou izolačních materiálů";"Spojení dvou tranzistorů"
"Jaká je hlavní vlastnost PN přechodu?";"Propouští proud pouze jedním směrem";"Propouští proud v obou směrech";"Zabraňuje jakémukoli proudu";"Vytváří teplo"
"Co je to klopný obvod?";"Sekvenční logický obvod se dvěma stabilními stavy";"Logický obvod typu AND";"Paměťová buňka RAM";"Výstupní zařízení"
"Jaký klopný obvod ukládá data podle hodinového signálu?";"D klopný obvod";"SR klopný obvod";"T klopný obvod";"JK klopný obvod"
"Jaký typ paměti je volatilní?";"RAM";"ROM";"Flash";"SSD"
"Jaký typ paměti je nevolatilní?";"Flash";"RAM";"Cache";"Registry"
"Jaký typ paměti je nejrychlejší v počítači?";"Registry";"RAM";"Flash";"SSD"
"Jaký typ paměti se používá jako rychlá mezipaměť mezi CPU a RAM?";"Cache";"Flash";"SSD";"USB"
"Jaké jsou typy cache paměti?";"L1, L2, L3";"DDR3, DDR4, DDR5";"SATA, NVMe, M.2";"HDD, SSD, SSHD"
"Jaká je hlavní výhoda L1 cache?";"Nejrychlejší přístup k datům";"Největší kapacita";"Nejnižší spotřeba energie";"Odolnost proti poškození"
"Jaký typ RAM se používá ve stolních počítačích?";"DIMM";"SO-DIMM";"eMMC";"GDDR"
"Jaký typ paměti se používá v noteboocích?";"SO-DIMM";"DIMM";"L3 cache";"SRAM"
"Co je to flash paměť?";"Nevolatilní paměť s rychlým přístupem k datům";"Volatilní paměť s pomalým přístupem";"Operační paměť s vysokou kapacitou";"Záložní napájení"
"Jaký typ úložiště používá flash paměť?";"SSD a USB";"HDD a CD-ROM";"Magnetická páska a disketa";"Optická média"
"Co je to adresní prostor?";"Rozsah adres, které může procesor využít";"Místo na pevném disku";"IP adresa v síti";"Frekvence procesoru"
"Jaký je maximální adresní prostor u 32bitového systému?";"4 GB";"2 GB";"8 GB";"16 GB"
"Co je virtuální paměť?";"Rozšíření RAM pomocí disku";"Nejrychlejší typ paměti";"Paměť určená pouze pro grafické karty";"Paměť pro zálohování dat"
"Jaký je hlavní rozdíl mezi fyzickou a virtuální pamětí?";"Virtuální paměť je rozšíření fyzické pomocí disku";"Fyzická paměť je rychlejší než virtuální";"Virtuální paměť je vždy na SSD";"Fyzická paměť je větší než virtuální"
"Jaký typ paměti se používá v SSD?";"Flash paměť";"Magnetická paměť";"Optická paměť";"Mechanická paměť"
"Jaký je účel cache paměti?";"Snížení latence při přístupu k často používaným datům";"Ukládání záloh dat";"Zpracování grafických operací";"Řízení spotřeby energie"
"Jaká paměť se používá pro dlouhodobé uchovávání dat?";"Flash paměť";"RAM";"Cache";"Registry"
"Jaký typ paměti zůstává zachován i po vypnutí počítače?";"Nevolatilní paměť";"Volatilní paměť";"Dočasná paměť";"Dynamická paměť"
