Otazka;Spravna_odpoved;Odpoved_2;Odpoved_3;Odpoved_4
Co je politický systém?;Souhrn institucí a pravidel fungování politiky ve státě;Soustava silnic;Výrobní zařízení;Tělesná soustava
Jaký je základní zákon České republiky?;Ústava ČR;Trestní zákoník;Občanský zákoník;Zákon o silničním provozu
Jaké jsou složky státní moci v ČR?;Zákonodárná, výkonná a soudní;Obranná, ekonomická, sociální;Legislativní a monetární;Trestní a etická
Který orgán představuje zákonodárnou moc?;Parlament ČR;Vláda ČR;Nejvyšší soud;Prezident ČR
Z čeho se skládá Parlament ČR?;Poslanecká sněmovna a Senát;Prezident a ministr financí;Obecní zastupitelstvo;Nejvyšší kontrolní úřad
Jaký je úkol Poslanecké sněmovny?;Navrhovat a schvalovat zákony;Vydávat občanky;Řídit nemocnice;Tvořit rozvrh škol
Kdo stojí v čele vlády?;Předseda vlády (premiér);Prezident;Předseda Senátu;Ministr vnitra
Kdo je hlavou státu v ČR?;Prezident republiky;Předseda vlády;Předseda Senátu;Guvernér ČNB
Jaká je role prezidenta v politickém systému?;Reprezentuje stát navenek, jmenuje premiéra a soudce;Řídí výuku;Tvoří rozpočet;Vede soudy
Kdo tvoří výkonnou moc?;Vláda ČR a prezident;Parlament ČR;Nejvyšší soud;Senát
Jaká je funkce Ústavního soudu?;Kontroluje soulad zákonů s Ústavou;Řeší dopravní nehody;Organizuje volby;Schvaluje rozpočet
Co je soustava obecných soudů?;Okresní, krajské, vrchní a Nejvyšší soud;Školy, nemocnice a knihovny;Policie a hasiči;Soudní komise EU
Co je územní samospráva?;Možnost obcí a krajů řídit si vlastní záležitosti;Zahraniční politika;Rozhodování o mezinárodním obchodu;Řízení dopravy v EU
Jaké jsou základní jednotky územní samosprávy?;Obec a kraj;Okres a stát;Město a parlament;Zastupitelstvo a vláda
Jaký je rozdíl mezi obcí a krajem?;Kraj zahrnuje více obcí a má širší kompetence;Obec je větší než kraj;Kraj je pod obcí;Není žádný rozdíl
Kdo rozhoduje o rozpočtu obce?;Zastupitelstvo obce;Ministerstvo kultury;Policie;Senát
Co je zákonodárný proces?;Proces tvorby a schvalování zákonů;Výběr prezidenta;Vytváření školních osnov;Sestavení rozpočtu
Kdo může navrhovat zákony v ČR?;Poslanci, Senát, vláda, prezident a petice občanů;Obyvatelé obcí;Zahraniční firmy;Ředitelé škol
Co je novela zákona?;Změna nebo doplnění již platného zákona;Zákaz knih;Nová ústava;Písemné hlasování
Jaký je význam dělby moci v demokracii?;Zajišťuje vzájemnou kontrolu a omezení moci;Zvyšuje daně;Sjednocuje úřady;Zvyšuje počet úředníků
