Otázka;Správná odpověď;Možnost 1;Možnost 2;Možnost 3
Co je hlavním účelem cyklu for?;Opakování bloku kódu známý početkrát;Opakování bloku kódu neznámý početkrát;Podmíněné větvení;Spuštění asynchronního úkolu
Jaký cyklus v C# iteruje přes kolekci?;foreach;for;while;do-while
Jaká je syntaxe cyklu for v C#?;for (inicializace; podmínka; iterace) { příkazy; };for { inicializace; podmínka; iterace } (příkazy);;for (příkazy; inicializace; iterace);for (podmínka) { inicializace; příkazy; }
Který cyklus v C# vždy provede tělo alespoň jednou?;do-while;for;while;foreach
Co znamená příkaz break v cyklu?;Okamžitě ukončí nejbližší cyklus;Přeskočí aktuální iteraci;Pokračuje na další iteraci;Ukončí celou metodu
K čemu se používá příkaz continue v cyklu?;Přeskočí aktuální iteraci a pokračuje další;Okamžitě ukončí cyklus;Vrátí hodnotu z metody;Zastaví běh programu
Jaký cyklus se používá, pokud počet iterací není předem znám?;while;for;foreach;do-while
Kdy se používá cyklus do-while?;Když se tělo cyklu musí provést alespoň jednou;Když chceme iterovat přes kolekci;Když potřebujeme paralelní zpracování;Když kontrolujeme podmínku předem
Co je nekonečný cyklus?;Cyklus, který nikdy neskončí, pokud není ukončen podmínkou;Cyklus, který běží přesně 10x;Cyklus s pevným počtem iterací;Cyklus, který se automaticky zastaví
Co je hlavní nevýhodou nekonečného cyklu?;Může způsobit zamrznutí nebo zhroucení programu;Je příliš rychlý na ladění;Spotřebovává příliš málo paměti;Je příliš jednoduchý na implementaci
Jaký cyklus použít pro iteraci známý početkrát?;for;while;do-while;foreach
Jaký cyklus se nejčastěji používá pro iteraci přes prvky pole?;foreach;for;while;do-while
Co je hlavní nevýhodou cyklu while?;Pokud podmínka není správně nastavena, může vzniknout nekonečný cyklus;Může iterovat příliš málo;Má omezený přístup k proměnným;Není vhodný pro práci s polem
Co je charakteristické pro cyklus foreach?;Iteruje přes všechny prvky kolekce;Iteruje pevný počet opakování;Provádí asynchronní operace;Kontroluje hodnotu při každé iteraci
Jaký je rozdíl mezi while a do-while cyklem?;do-while provede tělo alespoň jednou, zatímco while může tělo vynechat;while vždy provede tělo, do-while nemusí;while iteruje přes kolekci, do-while nikoli;do-while je rychlejší než while
Co znamená použití paralelního cyklu v C#?;Využití více vláken pro urychlení zpracování;Vykonávání cyklu s jedním vláknem;Opakování cyklu několikrát po sobě;Nahrazení všech ostatních cyklů
Jaký příkaz v C# se používá pro paralelní iteraci?;Parallel.For;foreach;do-while;while
Kdy použít cyklus while místo for?;Když počet iterací není předem znám;Když potřebujeme paralelní zpracování;Když potřebujeme pevný počet iterací;Když je třeba iterovat přes kolekci
Jaký je účel cyklu foreach v C#?;Iterovat přes všechny prvky kolekce bez manipulace s indexy;Opakovat pevný počet opakování;Kontrolovat pravdivostní hodnoty;Provádět asynchronní výpočty
Co je hlavní výhoda použití cyklu foreach?;Jednoduchá iterace přes všechny prvky kolekce;Možnost přímého ovlivnění prvků;Vysoká rychlost zpracování číselných hodnot;Asynchronní běh
