Otazka;Spravna_odpoved;Odpoved_2;Odpoved_3;Odpoved_4
Co je elektrolyt?;Látka vedoucí elektrický proud pomocí iontů;Izolant;Polovodič;Kovový vodič
Které látky jsou elektrolyty?;Kyseliny, zásady, soli ve vodě;Sklo a keramika;Kovy;Plyny při nízkém tlaku
Jak se přenáší proud v elektrolytu?;Pomocí iontů;Pomocí elektronů;Pomocí fotonů;Pomocí neutronů
Co je elektrolýza?;Rozklad sloučeniny působením elektrického proudu;Sloučení dvou kovů;Přenos tepla;Světelný jev
Kde se využívá elektrolýza?;Povrchové úpravy, výroba kovů, akumulátory;Zesilovače;Chlazení;Osvětlení
Co jsou elektrody?;Vodivé materiály ponořené do elektrolytu;Izolátory;Rezistory;Polovodiče
Kladná elektroda se nazývá?;Anoda;Katoda;Zem;Kontakt
Záporná elektroda se nazývá?;Katoda;Anoda;Zátěž;Svorka
Co vzniká na anodě při elektrolýze vody?;Kyslík;Vodík;Sůl;Kov
Co vzniká na katodě při elektrolýze vody?;Vodík;Kyslík;Chlor;Dusík
Jaký je vztah Faradayova zákona?;m = (A · I · t) / F;F = m · a;U = R · I;Q = m · c · Δt
Jednotka elektrického náboje je?;Coulomb;Ampér;Volt;Ohm
Co je galvanizace?;Povrchová úprava kovů pomocí elektrolýzy;Zahřívání kovů;Magnetizace;Chlazení vodičů
Co je akumulátor?;Zdroj elektrické energie na principu elektrolýzy;Transformátor;Zesilovač;Senzor
Jak funguje suchý článek?;Chemická reakce vytváří elektrický proud;Proud teče z magnetu;Využívá tepelný rozdíl;Používá polovodiče
Jak vede proud plyn?;Při ionizaci – tvorbě iontů;Stále;Vždy jako kov;Nepřenáší proud
Kdy vzniká elektrický výboj v plynu?;Při dostatečném napětí;Při vysoké teplotě;Při nízkém odporu;Při změně barvy
Co je katodové záření?;Proud elektronů vycházejících z katody;Proud iontů z anody;Proud vzduchu;Světlo v trubici
K čemu slouží obrazovka s katodovým zářením?;Zobrazování obrazu v monitorech a televizích;Zesílení proudu;Ukládání dat;Ohřívání prostor
Jaké plyny se používají ve výbojkách?;Neon, argon;Kyslík, dusík;Vodík, helium;Oxid uhličitý, ozón
