Otazka;Spravna_odpoved;Odpoved_2;Odpoved_3;Odpoved_4
Co je mezinárodní organizace?;Instituce sdružující státy za určitým účelem;Místní sportovní klub;Rodinný podnik;Škola
Jaký je význam mezinárodních organizací?;Řeší globální problémy, podporují spolupráci;Řídí domácí politiku;Vydávají knihy;Předpovídají počasí
Jaké typy mezinárodních organizací známe?;Politické, ekonomické, humanitární, vojenské;Kulturní, vesmírné, literární;Domácí, regionální, státní;Obchodní, zemědělské, školské
Co je OSN?;Organizace spojených národů;Odbor sportu a národní bezpečnosti;Obchodní společnost národů;Ochrana světové přírody
Kdy byla založena OSN?;1945;1918;1989;2001
Jaký je hlavní cíl OSN?;Udržení míru a bezpečnosti ve světě;Vydávání novin;Řízení obchodů;Ochrana domácího trhu
Co je Rada bezpečnosti OSN?;Orgán OSN zajišťující mezinárodní bezpečnost;Vědecký výbor;Ekonomická rada;Mediální výbor
Kolik stálých členů má Rada bezpečnosti OSN?;5;10;3;7
Co je NATO?;Severoatlantická aliance;Ekonomická unie;Mezinárodní banka;Klimatická organizace
Jaký je hlavní cíl NATO?;Zajištění obrany a bezpečnosti členských států;Výuka jazyků;Řízení ekonomiky;Správa muzeí
Kdy vzniklo NATO?;1949;1919;1980;2000
Kdy vstoupila ČR do NATO?;1999;1993;2004;2010
Co je EU?;Evropská unie;Evropská univerzita;Evropský úřad;Evropská umělecká skupina
Kdy vstoupila ČR do EU?;2004;1995;1999;2013
Jaké instituce má EU?;Evropský parlament, Evropská komise, Rada EU;Rada bezpečnosti, OSN;Senát, Sněmovna;Česká národní banka
Co je Schengenský prostor?;Území s volným pohybem osob bez hraničních kontrol;Zóna pro obchod s uhlím;Region mimo EU;Ochranná zóna
Co je eurozóna?;Skupina zemí EU používajících euro;Zóna obchodu s USA;Region v Německu;Místo pro konference
Co je význam ČR v EU?;Spolurozhoduje, čerpá fondy, ovlivňuje legislativu;Řídí celý parlament;Tvoří vlastní měnu;Spravuje všechny fondy
Jaká je role mezinárodních organizací ve válkách?;Zprostředkování míru, humanitární pomoc;Podpora zbraní;Uzavírání škol;Vydávání časopisů
Proč je důležitá spolupráce mezi státy?;Řeší globální problémy a zajišťuje stabilitu;Zvyšuje daně;Způsobuje konflikty;Omezuje vědu
