Otazka;Spravna_odpoved;Odpoved_2;Odpoved_3;Odpoved_4
Které prvky patří do II. A skupiny?;Be, Mg, Ca, Sr, Ba, Ra;Na, K, Rb;F, Cl, Br;C, Si, Ge
Jaký je oxidační stav prvků II. A skupiny?;+II;+I;0;+III
Který prvek II. A skupiny je významný pro kosti?;Vápník;Hořčík;Baryum;Berilium
Jaká je vlastnost hořčíku?;Lehký kov, dobře hoří;Těžký kov, toxický;Plyn;Kapalina
K čemu se používá vápník?;Stavba kostí, cement, hnojiva;Výroba skla;Jako barvivo;Syntéza proteinů
Jaká je role hořčíku v organismu?;Součást chlorofylu, podpora enzymů;Zásobník energie;Výživa červených krvinek;Neutralizace kyselin
Co je hydroxid vápenatý?;Ca(OH)₂;NaOH;Mg(OH)₂;CaCO₃
Kde se používá hydroxid vápenatý?;Stavebnictví, zemědělství;Léčiva;Barviva;Fotosyntéza
Co je sádrovec?;Minerál obsahující síran vápenatý;Ruda mědi;Křemičitan;Oxid dusný
Jak se značí chlorid vápenatý?;CaCl₂;CaCl;CaCO₃;Ca(OH)₂
Co jsou alkaloidy?;Přírodní organické dusíkaté sloučeniny s biologickým účinkem;Uhličitany;Fosfáty;Estery
Jaké je typické vlastnosti alkaloidů?;Zásadité, biologicky aktivní;Kyselé a inertní;Neutrální;Silně reaktivní s vodou
Kde se nachází alkaloidy?;V rostlinách;V minerálech;V kovových rudách;V plynech
Jaké účinky mají alkaloidy na lidské tělo?;Stimulující, narkotické, léčivé;Pouze toxické;Neutralizující;Bez vlivu
Který z těchto je alkaloid?;Kofein;Sacharóza;Glukóza;Retinol
Jaký je význam morfinu?;Silné analgetikum;Barvivo;Syntetické lepidlo;Oxidant
Co je nikotin?;Alkaloid v tabáku;Aminokyselina;Cukr;Tuk
Jak se alkaloidy využívají?;Léčiva, pesticidy, stimulanty;Hnojiva;Barviva;Detergenty
Který z těchto alkaloidů má stimulační účinky?;Kofein;Morfin;Chinin;LSD
Proč mají alkaloidy zásadité vlastnosti?;Obsahují dusík schopný přijmout proton;Obsahují OH skupiny;Jsou kovové;Mají velké atomy
