Otazka;Spravna_odpoved;Odpoved_2;Odpoved_3;Odpoved_4
Co je monoteismus?;Víra v jednoho Boha;Víra v mnoho bohů;Uctívání přírody;Nevíra v žádného boha
Které náboženství je považováno za první monoteistické?;Judaismus;Křesťanství;Islám;Budhismus
Co je Tóra?;Posvátný text judaismu;Křesťanská modlitba;Islámské pravidlo;Hinduistický bůh
Kde se scházejí židé k bohoslužbě?;Synagoga;Mešita;Kostel;Chrám bohyně
Kdo je hlavním prorokem judaismu?;Mojžíš;Ježíš;Mohamed;Buddha
Co je základní vírou křesťanství?;Víra v Ježíše Krista jako spasitele;Reinkarnace;Modlitby k více bohům;Uctívání přírody
Jaký je posvátný text křesťanství?;Bible;Korán;Talmud;Védy
Co je Nový zákon?;Část Bible popisující život Ježíše;Soubor židovských zákonů;Muslimská modlitba;Filozofický spis
Jak se jmenuje místo křesťanské bohoslužby?;Kostel;Synagoga;Mešita;Pagoda
Kdo je zakladatelem islámu?;Prorok Mohamed;Ježíš;Mojžíš;Buddha
Co je Korán?;Posvátná kniha islámu;Křesťanský svazek;Židovský komentář;Učebnice etiky
Jak se nazývá místo muslimské bohoslužby?;Mešita;Kostel;Synagoga;Klášter
Co je šaría?;Islámské právo;Modlitební kniha;Křesťanský zákon;Etické pravidlo ve filosofii
Jaký je vztah těchto tří náboženství?;Mají společné kořeny a víru v jednoho Boha;Jsou naprosto rozdílná;Byla vytvořena ve stejné době;Mají různé bohy a nemají nic společného
Kdo jsou proroci společní pro všechna tři náboženství?;Abrahám, Mojžíš;Platón, Aristoteles;Buddha, Lao-c';Newton, Einstein
Co je středověká křesťanská filosofie?;Filosofie ovlivněná křesťanským učením;Věda o zemědělství;Učení o hvězdách;Právní nauka antiky
Kdo byl Tomáš Akvinský?;Středověký křesťanský filosof;Prorok islámu;Rabín;Římský právník
Jaký je význam těchto náboženství v historii?;Ovlivnila morálku, právo i kulturu;Změnila geometrii;Zavedla sporty;Přinesla písmo
Co znamená slovo 'islám'?;Oddání se Bohu;Příchod Mesiáše;Spása duše;Obřadní zpěv
Proč je důležité rozumět těmto náboženstvím?;Pomáhá chápat kultury, dějiny a současný svět;Umožňuje vstup do školy;Zajišťuje práci;Zvyšuje fyzickou sílu
