Otazka;Spravna_odpoved;Odpoved_2;Odpoved_3;Odpoved_4
Co je ekosystém?;Funkční celek organismů a prostředí;Skupina rostlin;Společenstvo zvířat;Jezero bez života
Jaké jsou složky ekosystému?;Biotické a abiotické;Hmotné a nehmotné;Rostlinné a živočišné;Vodní a suchozemské
Co je biocenóza?;Společenstvo organismů žijících v daném prostředí;Životní prostředí bez organismů;Sklizeň plodin;Složení vody
Co je populace v ekologii?;Skupina jedinců téhož druhu na určitém místě;Společenství různých druhů;Lidé v městě;Skupina rostlin
Co je potravní řetězec?;Sled, kterým se přenáší energie mezi organismy;Rozmnožovací cyklus;Migrace zvířat;Způsob růstu stromů
Jaké jsou základní typy potravních strategií?;Producent, konzument, rozkladač;Predátor, kořist, endemit;Saprofyt, parazit, mutualista;Autotrof, heterotrof, plíseň
Co je potravní pyramida?;Grafické znázornění toku energie mezi trofickými úrovněmi;Schéma vývoje plodu;Rozdělení hmyzu;Rozmístění rostlin
Jaký je význam rozkladačů v ekosystému?;Zajišťují rozklad organické hmoty a koloběh živin;Zpomalují růst rostlin;Způsobují infekce;Tvoří biomasu
Co je biom?;Velkoplošný ekosystém s charakteristickým klimatem a organismy;Jezero;Živá buňka;Společné jméno pro hmyz
Jaké jsou příklady vztahů mezi populacemi?;Predace, konkurence, mutualismus;Replikace, transkripce, translace;Fotosyntéza, dýchání, růst;Zalévání, hnojení, sekání
