Otazka;Spravna_odpoved;Odpoved_2;Odpoved_3;Odpoved_4
Co je dědičnost?;Přenos genetické informace z rodičů na potomky;Změna DNA;Ztráta genů;Tvorba hormonů
Kde se nachází genetická informace?;V DNA;V bílkovinách;V krevní plazmě;V mitochondriích
Jaký je základní stavební prvek DNA?;Nukleotid;Aminokyselina;Ribozom;Chromatid
Co je karyotyp?;Soubor všech chromozomů v buňce;Typ bílkoviny;Počet žeber;Tvar mitochondrií
Kolik chromozomů má lidská buňka?;46;44;23;48
Co je gen?;Úsek DNA kódující určitou vlastnost;Celá chromozomální sada;Buněčné jádro;Struktura RNA
Jaké jsou druhy mutací?;Genové, chromozomové, genomové;Chemické, fyzikální, biologické;Pozitivní a negativní;Ztrátové a ziskové
Co je mutace?;Trvalá změna genetické informace;Změna pohlaví;Změna krevní skupiny;Tvorba nové buňky
Co jsou mutageny?;Faktory způsobující mutace;Léčiva;Typy hormonů;Obranyschopnost
Které faktory jsou mutagenní?;UV záření, chemikálie, radiace;Voda, kyslík, glukóza;Teplo, chlad, vlhkost;Bílkoviny, tuky, cukry
Co je genetická proměnlivost?;Rozdíly v genetické výbavě jedinců;Růst těla;Změna pohlaví;Změna metabolismu
Jak se genetická proměnlivost projevuje?;Rozdíly v rysech a odolnosti;Změna krevního tlaku;Snížení teploty;Změna hladiny cukru
Co jsou dědičné choroby?;Onemocnění způsobená mutací genů;Infekční nemoci;Onemocnění svalů;Poruchy trávení
Která dědičná choroba postihuje metabolismus fenylalaninu?;Fenylketonurie;Cystická fibróza;Hemofilie;Albinismus
Co je eugenika?;Směr usilující o zlepšení genetického fondu;Léčba nemocí;Studium buněk;Reprodukční klonování
Co je eufenika?;Léčba nebo zmírnění dědičných vad;Změna pohlaví;Přenos mutací;Vytváření nových genů
Jak se přenáší hemofilie?;Vázaně na pohlavní chromozom X;Autozomálně dominantně;Mitochondriálně;Přes RNA
K čemu slouží genetické testování?;Zjišťování genetických predispozic;Měření výšky;Diagnostika infekcí;Změna krevní skupiny
Co je mozaicismus?;Různé genetické složení buněk v těle;Jednotný genom;Ztráta chromozomu;Porucha enzymu
Proč je důležitá genetická variabilita?;Zvyšuje šanci na přežití populace;Snižuje mutace;Zvyšuje hladinu cukru;Zajišťuje produkci hormonu
