Otazka;Spravna_odpoved;Odpoved_2;Odpoved_3;Odpoved_4
Co je veřejné právo?;Právo upravující vztahy mezi státem a jednotlivcem;Právo v obchodních vztazích;Rodinné právo;Zdravotní právo
Co je trestní právo?;Součást veřejného práva upravující postih trestných činů;Zákony o manželství;Pravidla sportu;Daňové zákony
Jaké jsou dvě části trestního práva?;Hmotné a procesní;Občanské a rodinné;Písemné a ústní;Městské a krajské
Co upravuje trestní právo hmotné?;Co je trestné a jaké jsou tresty;Jak se vyučuje právo;Co je občanský zákoník;Jaké jsou politické strany
Co upravuje trestní právo procesní?;Jak probíhá trestní řízení;Pravidla manželství;Zákony o dopravě;Školní řád
Kdy je člověk trestně odpovědný?;Od 15 let;Od narození;Od 10 let;Od 18 let
Co je trestný čin?;Protiprávní čin, který je společensky nebezpečný;Drobné porušení školního řádu;Nedbalostní zranění při sportu;Ztráta věci
Jaké známe druhy trestů?;Odnětí svobody, peněžitý trest, obecně prospěšné práce;Napomenutí, domácí vězení, školní test;Zákaz čtení, zákaz vstupu, ztráta kreditu;Ztráta občanství, exil, pád z funkcí
Kdo může uložit trest?;Soud;Policie;Ředitel školy;Starosta obce
Jaký je účel trestu?;Ochrana společnosti, výchova pachatele, prevence;Pomsta;Zisk peněz;Získání pozice
Jaký je průběh trestního řízení?;Zahájení – vyšetřování – obžaloba – soud – rozsudek;Registrace – volby – práce – odměna;Příchod – zápis – oběd – odchod;Přijetí – test – hodnocení – propustka
Co je obžaloba?;Podání státního zástupce k soudu s návrhem na potrestání;Zpráva o výuce;Školní omluvenka;Zákon o policii
Kdo zastupuje stát v trestním řízení?;Státní zástupce;Ministr zdravotnictví;Učitel práva;Prezident republiky
Co je rozsudek?;Rozhodnutí soudu ve věci;Zákon;Rozvrh hodin;Smlouva o spolupráci
Co je předběžné opatření?;Dočasné rozhodnutí před konečným rozsudkem;Školní poznámka;Zákaz návštěv;Změna počasí
Co je podmíněný trest?;Odsouzení bez nástupu do výkonu trestu, pokud pachatel neporuší podmínky;Trest na základní škole;Zákaz práce;Vyhazov z obchodu
K čemu slouží trestní rejstřík?;Eviduje pravomocné odsouzení osob;Uchovává tresty školy;Archivuje tresty policistů;Obsahuje seznam soudců
Jaké jsou okolnosti vylučující protiprávnost?;Nutná obrana, krajní nouze;Neznalost zákona;Mladistvost;Omluva pachatele
Proč je důležité znát trestní právo?;Chráníme sebe i druhé a známe svá práva;Získáváme řidičák;Píšeme testy;Snižujeme daně
Jaký je rozdíl mezi trestným činem a přestupkem?;Trestný čin je závažnější a řeší ho soud;Přestupek je těžší;Trestný čin řeší škola;Přestupek znamená vězení
