Otazka;Spravna_odpoved;Odpoved_2;Odpoved_3;Odpoved_4
Jaká je hlavní funkce dýchací soustavy?;Zajišťuje výměnu plynů mezi tělem a prostředím;Produkuje hormony;Reguluje teplotu;Filtruje krev
Které orgány tvoří dýchací soustavu člověka?;Nosní dutina, hrtan, průdušnice, průdušky, plíce;Ústa, hltan, žaludek;Mozek, mícha, nervy;Játra, slinivka, ledviny
Kde dochází k výměně plynů v lidském těle?;V plicních sklípcích (alveolách);V průdušnici;V játrech;V ledvinách
Co je plicní ventilace?;Proces nádechu a výdechu;Filtrace krve;Pohyb potravy;Tvorba bílkovin
Jaký orgán odděluje hrudní a břišní dutinu a pomáhá dýchání?;Bránice;Plíce;Srdce;Hrudní kost
Jak dýchají obojživelníci?;Plícemi i kůží;Pouze žábrami;Pouze ústy;Vzdušnicemi
Jak dýchají ryby?;Žábrami;Vzdušnicemi;Pokožkou;Plícemi
Který živočich dýchá vzdušnicemi?;Hmyz;Ryba;Pták;Obojživelník
Co je tkáňové dýchání?;Proces využití kyslíku buňkami k výrobě energie;Nádech a výdech;Průchod vzduchu hrtanem;Filtrace plynů
Jaká onemocnění postihují dýchací soustavu?;Astma, bronchitida, zápal plic;Cukrovka, artritida, ekzém;Chřipka, akné, malárie;Tetanus, HIV, angína
