Otazka;Spravna_odpoved;Odpoved_2;Odpoved_3;Odpoved_4
Co je kvalitativní znak?;Znak vyjádřený jednoznačně (např. barva očí);Znak měřitelný v jednotkách;Znak bez genetického základu;Znak podmíněný výživou
Co je kvantitativní znak?;Znak vyjádřený stupňovitě (např. výška);Znak bez proměnlivosti;Znak přenášený viry;Znak závislý na počasí
Co je vazba genů?;Geny umístěné blízko sebe na stejném chromozomu;Geny v různých buňkách;Geny ovlivňující barvu kůže;Geny přítomné pouze u mužů
Co je gonozomální dědičnost?;Dědičnost vázaná na pohlavní chromozomy;Dědičnost u hmyzu;Dědičnost přenášená mitochondriemi;Dědičnost krevních skupin
Co je monohybridismus?;Dědičnost jednoho znaku;Dědičnost více znaků;Pohlavní vývoj;Rozmnožování klonováním
Co je dihybridismus?;Dědičnost dvou znaků současně;Dědičnost pohlaví;Mutace v chromozomech;Dědičnost genů ve vazbě
Co je úplná dominance?;Dominantní alela plně potlačí recesivní;Obě alely se projeví stejně;Rovnoměrné dělení;Změna fenotypu během života
Co je neúplná dominance?;Obě alely se projeví částečně;Jeden znak je potlačen;Není dědičnost;Přenos virů mezi generacemi
Co zkoumá genetika populací?;Rozšíření a změny alel v populaci;Vývoj orgánů;Strukturu DNA;Přítomnost virů
Co je hybridizace?;Křížení geneticky odlišných jedinců;Rozklad chromozomu;Mutace DNA;Vývoj pohlavních znaků
