Otazka;Spravna_odpoved;Odpoved_2;Odpoved_3;Odpoved_4
"Co je napěťový zesilovač?";"Zesiluje napětí signálu";"Zesiluje proud signálu";"Zesiluje výkon signálu";"Mění frekvenci signálu"
"Co je proudový zesilovač?";"Zesiluje proud signálu";"Zesiluje napětí signálu";"Zesiluje výkon signálu";"Snižuje zkreslení signálu"
"Jaká je základní vlastnost výkonového zesilovače?";"Zesiluje výkon signálu";"Zesiluje napětí signálu";"Zesiluje proud signálu";"Zesiluje kmitočet signálu"
"Co je zesílení napětí?";"Poměr výstupního napětí k vstupnímu napětí";"Poměr vstupního napětí k výstupnímu napětí";"Poměr proudu a napětí";"Poměr výkonu a napětí"
"Co určuje vstupní impedance zesilovače?";"Odpor, který zesilovač vidí na vstupu";"Odpor na výstupu zesilovače";"Napěťový zisk zesilovače";"Proudový zisk zesilovače"
"Co určuje výstupní impedance zesilovače?";"Odpor na výstupu zesilovače";"Odpor na vstupu zesilovače";"Zesílení napětí";"Zesílení proudu"
"Jaká je hlavní vlastnost třídy A zesilovače?";"Vede celý cyklus, vysoká kvalita signálu";"Vede polovinu cyklu, vysoká účinnost";"Vede méně než polovinu cyklu";"Vede celý cyklus, nízká kvalita signálu"
"Co charakterizuje třídu B zesilovače?";"Vede polovinu cyklu, vyšší účinnost";"Vede celý cyklus, vysoká kvalita";"Vede méně než polovinu cyklu";"Vede celý cyklus, nízká účinnost"
"Co je hlavní výhodou třídy D zesilovače?";"Vysoká účinnost díky spínanému režimu";"Vysoká kvalita signálu";"Nízké zkreslení";"Nízká spotřeba energie"
"K čemu slouží emitorový sledovač?";"K přizpůsobení impedance";"K zesílení napětí";"K zesílení proudu";"K regulaci frekvence"
"Jaká je základní funkce bipolárního tranzistoru?";"Zesílení proudu";"Zesílení napětí";"Filtrace signálu";"Stabilizace napětí"
"Co je společná báze tranzistoru?";"Zapojení tranzistoru s bází uzemněnou";"Zapojení s kolektorem uzemněným";"Zapojení s emitorem uzemněným";"Zapojení bez zemnění"
"Jaká je základní vlastnost MOSFET tranzistoru?";"Řízení proudu pomocí napětí na hradle";"Řízení napětí pomocí proudu";"Zesílení výkonu";"Snížení šumu signálu"
"Co je pracovním bodem tranzistoru?";"Stav tranzistoru bez vstupního signálu";"Maximální proud tranzistorem";"Maximální napětí na kolektoru";"Minimální výkon tranzistoru"
"Jaká je základní vlastnost kladné zpětné vazby?";"Zvyšuje zesílení, může způsobit nestabilitu";"Snižuje zesílení a zlepšuje stabilitu";"Nepůsobí na zesílení";"Eliminuje šum"
"Co je hlavní nevýhodou zesilovače třídy B?";"Zkreslení při přechodu mezi polovlnami";"Vysoká spotřeba energie";"Nízké napěťové zesílení";"Vysoká cena"
"Co je hlavní výhodou zesilovače třídy AB?";"Kompromis mezi účinností a kvalitou signálu";"Nejvyšší účinnost";"Nejvyšší kvalita signálu";"Nejvyšší stabilita"
"Co určuje šířka pásma zesilovače?";"Rozsah frekvencí s minimálním poklesem zesílení";"Maximální proud zesilovače";"Minimální výkon zesilovače";"Maximální teplota zesilovače"
"Jaké je hlavní využití VF zesilovačů?";"Zesílení vysokofrekvenčních signálů";"Zesílení nízkofrekvenčních signálů";"Stabilizace napětí";"Filtrace šumu"
