Otazka;Spravna_odpoved;Odpoved_2;Odpoved_3;Odpoved_4
Co je charakteristické pro renesanční filosofii?;Zaměření na člověka, přírodu a rozum;Víra v nadpřirozené síly;Uctívání více bohů;Zákaz učení
Jaké období následovalo po středověku?;Renesance;Baroko;Antika;Osvícenství
Kdo byl Erasmus Rotterdamský?;Humanista a kritik církve;Papež;Římský císař;Řecký básník
Co znamená reformace?;Hnutí za náboženskou obnovu a kritiku církve;Změna školního řádu;Reforma daní;Založení nových států
Kdo byl Martin Luther?;Německý reformátor, autor 95 tezí;Italský básník;Římský král;Středověký právník
Co je protestantismus?;Směr vzniklý v důsledku reformace;Forma starověké demokracie;Hnutí za rovnost;Název římské armády
Jaká byla reakce katolické církve na reformaci?;Protipohyb zvaný protireformace;Přijetí všech změn;Zrušení křesťanství;Reforma voleb
Kdo byl Jan Kalvín?;Reformátor, zastánce učení o předurčení;Řecký filosof;Francouzský král;Italský vynálezce
Co je novověká filosofie?;Filosofie 17.–18. století zaměřená na rozum a poznání;Náboženské myšlení;Sportovní teorie;Recepty
Kdo byl René Descartes?;Zakladatel novověké racionalistické filosofie;Římský stavitel;Malíř;Hudebník
Co znamená 'Myslím, tedy jsem'?;Descartesův výrok o existenci a rozumu;Politický slogan;Zákon školy;Píseň
Co je racionalismus?;Filosofický směr zdůrazňující rozum jako hlavní zdroj poznání;Využití emocí;Náboženské dogma;Věřit v přírodu
Kdo je hlavní představitel empirismu?;John Locke;Platón;Aristoteles;Galilei
Co je empirismus?;Poznání je založeno na zkušenosti;Poznání je vrozené;Poznání je nemožné;Poznání je dar
Co je osvícenství?;Kulturní a filozofické hnutí zdůrazňující rozum, pokrok a svobodu;Kult náboženství;Vojenství;Tajemství
Kdo byli osvícenci?;Filosofové a myslitelé usilující o reformu společnosti;Kněží;Císaři;Hudebníci
Jaké dílo napsal Voltaire?;Candide;Stát;Kritika čistého rozumu;Písmo svaté
Co bylo cílem encyklopedistů?;Shromáždit veškeré lidské vědění;Napsat básně;Vytvořit armádu;Zakázat učení
Kdo byl Denis Diderot?;Hlavní redaktor Encyklopedie;Řecký filosof;Francouzský generál;Hudební skladatel
Jaký vliv mělo osvícenství?;Přispělo k revolucím, reformám a rozvoji lidských práv;Zrušilo školství;Podpořilo církevní moc;Zakázalo knihy
