Otazka;Spravna_odpoved;Odpoved_2;Odpoved_3;Odpoved_4
Z čeho se skládá pohybová soustava?;Svaly, šlachy, klouby;Kosti, cévy, nervy;Pokožka, podkoží;Orgány trávení
Jaký je hlavní typ svalové tkáně v kosterním svalstvu?;Příčně pruhovaná svalovina;Hladká svalovina;Srdeční svalovina;Pevná vazivová tkáň
Co je charakteristické pro příčně pruhovanou svalovinu?;Rychlá a vůlí ovladatelná kontrakce;Pomalejší mimovolní kontrakce;Nepřetržité automatické stahy;Nízká spotřeba energie
Kde se nachází hladká svalovina?;Ve stěnách vnitřních orgánů;Na kostech;V srdeční komoře;Na pokožce
Jaký typ svalové tkáně tvoří srdce?;Srdeční svalovina;Příčně pruhovaná svalovina;Hladká svalovina;Kosterní svalovina
Co je motorická jednotka?;Skupina svalových vláken ovládaná jedním motoneuronem;Soubor kloubů a vazů;Jednotka pro měření síly;Pár sval a kost
Jak probíhá svalový stah?;Skluz aktinu a myosinu za přítomnosti ATP;Příliv vápníku do jater;Kontrakce bez přítomnosti energie;Náhlý pokles tělesné teploty
Jaká látka je nezbytná pro svalový stah?;ATP;Kyselina mléčná;Voda;Glycogen
Co je úpon svalu?;Místo připojení svalu ke kosti;Začátek stahu;Nervové zakončení;Střed svalu
Co je šlacha?;Pevné vazivo připojující sval ke kosti;Měkká tkáň v játrech;Dutina v kostech;Přepážka v kloubu
Jaké jsou základní druhy svalových kontrakcí?;Izometrická a izotonická;Flexibilní a rigidní;Statická a pasivní;Kinetická a mechanická
Jaký je rozdíl mezi agonistou a antagonistou?;Agonista vykonává pohyb, antagonista jej brzdí;Agonista brání pohybu, antagonista ho vyvolává;Oba jsou pasivní;Agonista je kost, antagonista sval
Který sval je největší v těle?;Hýžďový sval (gluteus maximus);Biceps;Lýtko;Trapézový sval
Který sval je hlavní ohýbač předloktí?;Biceps brachii;Triceps brachii;Deltový sval;Kývač hlavy
K čemu slouží mezilopatkové svaly?;Stahují lopatky k páteři a fixují je;Ohýbají předloktí;Podporují dýchání;Ovládají prsty
Jaký sval napíná stehno?;Čtyřhlavý sval stehenní (quadriceps);Hamstring;Biceps;Trapéz
K čemu slouží bránice?;Hlavní dýchací sval;Ochrana žeber;Tvorba hlasu;Regulace krevního tlaku
Co je svalová únava?;Dočasné snížení výkonnosti svalu;Trvalé poškození svalu;Ztráta kostní hmoty;Rozpad šlachy
Jak se regeneruje svalová tkáň?;Pomocí satelitních buněk a odpočinku;Přes kloubní maz;Produkci leukocytů;Pomocí neuronů
Proč je důležité protahování svalů?;Zvyšuje pružnost a předchází zraněním;Zvyšuje tělesnou teplotu;Snižuje krevní tlak;Zabraňuje růstu svalů
