Otazka;Spravna_odpoved;Odpoved_2;Odpoved_3;Odpoved_4
"Co je úkolem ALU v procesoru?";"Provádět aritmetické a logické operace";"Řídit tok dat";"Ukládat programy";"Připojovat externí zařízení"
"Co znamená zkratka ALU?";"Aritmeticko-logická jednotka";"Adresovací jednotka";"Analytická jednotka";"Asociativní logická úloha"
"Jakou funkci má řadič (CU) v procesoru?";"Řídí tok dat a instrukcí";"Provádí aritmetické operace";"Ukládá data";"Připojuje vstupní zařízení"
"Co jsou registry v procesoru?";"Malé a rychlé paměti pro uchování aktuálních dat";"Vstupní a výstupní zařízení";"Datové sběrnice";"Systémové hodiny"
"Jaký je účel cache paměti v procesoru?";"Zrychlit přístup k často používaným datům";"Ukládat dlouhodobě data";"Zajišťovat zálohu dat";"Provádět grafické operace"
"Jaký typ paměti má nejvyšší rychlost?";"L1 cache";"RAM";"SSD";"L3 cache"
"Co znamená frekvence procesoru?";"Rychlost zpracování instrukcí";"Kapacita paměti";"Počet jader";"Počet vláken"
"Jaký je účel chlazení procesoru?";"Odvádět teplo produkované procesorem";"Zvyšovat frekvenci procesoru";"Snižovat napětí procesoru";"Optimalizovat přístup do paměti"
"Co znamená zkratka TDP?";"Thermal Design Power";"Total Data Processing";"Transmission Data Protocol";"Tactical Device Performance"
"Který typ chlazení je nejčastěji používán v běžných PC?";"Vzduchové chlazení";"Kapalinové chlazení";"Pasivní chlazení";"Kombinované chlazení"
"Která instrukční sada se používá v procesorech Intel a AMD?";"x86";"ARM";"MIPS";"RISC"
"Pro jaké účely se používají procesory ARM?";"Mobilní zařízení a IoT";"Herní počítače";"Grafické stanice";"Výpočetní servery"
"Jaká je hlavní výhoda ARM procesorů?";"Nízká spotřeba energie";"Vysoký počet jader";"Vysoký tepelný výkon";"Integrovaná grafika"
"Co znamená pojem 'hyper-threading'?";"Zpracování více vláken na jednom jádru";"Zvýšení frekvence procesoru";"Chlazení procesoru vodou";"Připojení více monitorů"
"Jaká je hlavní výhoda multi-jádrových procesorů?";"Paralelní zpracování více úloh";"Snížení spotřeby energie";"Lepší grafický výkon";"Nižší cena"
"Jakou architekturu využívají procesory Apple M1/M2?";"ARM";"x86";"MIPS";"PowerPC"
"Jaký tranzistor se používá jako spínač v digitálních obvodech?";"NPN tranzistor";"PNP tranzistor";"MOSFET";"IGBT"
"Jak funguje tranzistor jako spínač v otevřeném stavu?";"Proud mezi kolektorem a emitorem";"Blokuje proud";"Řídí napětí";"Omezuje teplotu"
"Co je úkolem sběrnice v procesoru?";"Přenášet data mezi komponentami";"Řídit grafický výstup";"Ukládat data na disk";"Zajišťovat připojení monitoru"
"Jaký typ paměti se používá pro uložení právě běžících procesů?";"RAM";"SSD";"Cache";"ROM"
"Co znamená pojem 'tranzistor jako zesilovač'?";"Zvyšuje úroveň signálu";"Blokuje tok dat";"Připojuje periferie";"Snižuje spotřebu energie"
"Jaký typ cache paměti je sdílený mezi více jádry procesoru?";"L3 cache";"L1 cache";"L2 cache";"RAM"
"Co je úkolem akumulátoru v procesoru?";"Uchovávání dočasných dat";"Generování elektrického proudu";"Řízení grafiky";"Chlazení procesoru"
