Otazka;Spravna_odpoved;Odpoved_2;Odpoved_3;Odpoved_4
Co je magnetické pole?;Prostor, kde působí magnetická síla;Pole způsobené elektrony;Oblast kolem vodiče;Zóna bez energie
Co je permanentní magnet?;Těleso s trvale magnetickým polem;Přepínač;Zesilovač;Kondenzátor
Jak se značí magnetická indukce?;B;H;M;I
Jednotka magnetické indukce je?;Tesla (T);Weber;Volt;Coulomb
Kde jsou póly magnetu nejsilnější?;Na koncích;Uprostřed;Vně magnetu;Póly jsou stejně silné všude
Co je elektromagnet?;Cívka s proudem vytvářející magnetické pole;Permanentní magnet;Zdroj napětí;Elektrický motor
K čemu slouží jádro v elektromagnetu?;Zesiluje magnetické pole;Zmenšuje napětí;Přenáší proud;Snižuje odpor
Jak lze vytvořit magnetické pole?;Proudem ve vodiči;Stisknutím tlačítka;Pohybem tepla;Přepnutím spínače
Jaké jsou základní magnetické vlastnosti látek?;Feromagnetické, paramagnetické, diamagnetické;Elektronické, iontové, neutrální;Termální, optické, zvukové;Tuhé, kapalné, plynné
Co je střídavý proud?;Proud, který mění směr a velikost;Stálý proud;Proud s konstantní hodnotou;Proud s nízkým napětím
Jednotka frekvence střídavého proudu je?;Hertz (Hz);Ampér;Volt;Ohm
Frekvence síťového střídavého proudu v Evropě je?;50 Hz;60 Hz;100 Hz;120 Hz
Co je amplituda střídavého proudu?;Maximální hodnota proudu nebo napětí;Průměrná hodnota;Směr proudu;Plocha vodiče
Jaký je vzorec pro efektivní hodnotu napětí?;Uef = Umax / √2;U = R · I;U = Q / t;U = m · g
Co je transformátor?;Zařízení měnící napětí střídavého proudu;Zdroj proudu;Kondenzátor;Zesilovač
K čemu slouží generátor?;Vyrábí elektrický proud;Přeměňuje teplo;Zesiluje signál;Měří odpor
Jak funguje elektromotor?;Přeměňuje elektrickou energii na mechanickou;Převádí zvuk;Vytváří světlo;Způsobuje ionizaci
Jaký je princip přenosu elektrické energie na dálku?;Vysoké napětí, nízký proud pro snížení ztrát;Nízké napětí, vysoký proud;Přímý proud;Zemní kabely bez izolace
Jaká je role indukce ve střídavém proudu?;Způsobuje vznik napětí při změně magnetického pole;Snižuje teplotu;Přidává energii;Měří frekvenci
Kde se používá střídavý proud?;V domácnostech, rozvodných sítích;Pouze v laboratořích;Ve vakuových trubicích;V ručních přístrojích
