Otazka;Spravna_odpoved;Odpoved_2;Odpoved_3;Odpoved_4
"Co je počítač?";"Elektronické zařízení pro zpracování, ukládání a přenos dat";"Zařízení na vaření";"Mobilní telefon";"Televize"
"Jaká je nejmenší jednotka informace?";"Bit";"Byte";"Kilobyte";"Megabyte"
"Kolik bitů má jeden Byte?";"8";"16";"4";"2"
"Kolik Megabyte má jeden Gigabyte?";"1024";"1000";"512";"2048"
"Která architektura odděluje paměť pro data a programy?";"Harvardova";"Von Neumannova";"Zjednodušená";"Multijádrová"
"Jaké jsou hlavní části Von Neumannovy architektury?";"Procesor, paměť, I/O, sběrnice";"Obrazovka, klávesnice, myš, reproduktory";"Disk, grafická karta, procesor, chladič";"Operační systém, antivir, textový editor, webový prohlížeč"
"Jaké jsou základní komponenty počítačové sestavy?";"CPU, RAM, úložiště, základní deska, GPU";"Monitor, klávesnice, myš, reproduktory";"Router, switch, kabel";"Operační systém, aplikace, data"
"Jaký je účel základní desky?";"Spojuje všechny komponenty počítače";"Slouží jako úložiště";"Zajišťuje grafický výstup";"Napájí všechny komponenty"
"Co zajišťuje napájení všech komponent v počítači?";"Napájecí zdroj (PSU)";"Grafická karta";"Procesor";"USB port"
"Jaký typ úložiště má vyšší rychlost čtení a zápisu?";"SSD";"HDD";"CD-ROM";"Disketa"
"Jaké jsou hlavní operační systémy?";"Windows, macOS, Linux";"iOS, Android, Windows Phone";"DOS, AmigaOS, Solaris";"Symbian, Blackberry OS, Palm OS"
"Co je OEM licence operačního systému?";"Předinstalovaná na zakoupeném zařízení";"Volně šiřitelná licence";"Licence pro více zařízení";"Dočasná licence"
"Jaký je účel antivirové kontroly?";"Ochrana před škodlivým softwarem";"Zvýšení výkonu procesoru";"Optimalizace grafiky";"Nastavení tiskárny"
"Jaký je hlavní úkol procesoru?";"Provádět výpočty a zpracovávat instrukce";"Ovládat grafiku";"Řídit chlazení";"Přenášet data do cloudu"
"Jaký je rozdíl mezi HDD a SSD?";"SSD je rychlejší a odolnější, HDD je levnější";"HDD je menší a lehčí";"SSD má vyšší spotřebu energie";"HDD je určen pouze pro herní PC"
"Co je hlavním úkolem operační paměti (RAM)?";"Uchovávat data pro aktuálně běžící programy";"Ukládat trvale všechna data";"Řídit napájení počítače";"Přenášet zvuk do reproduktorů"
"Jaká je hlavní výhoda SSD oproti HDD?";"Vysoká rychlost přenosu dat";"Nižší kapacita";"Vyšší hmotnost";"Vyšší spotřeba energie"
"Jaký je účel ventilace v počítači?";"Chlazení komponent a odvádění tepla";"Napájení základní desky";"Připojení monitoru";"Zvukový výstup"
"Jaký je správný postup při stavbě počítače?";"Příprava, montáž komponent, zapojení kabeláže, kontrola, instalace OS";"Nastavení monitoru, připojení klávesnice, spuštění Windows";"Instalace antiviru, zapojení reproduktorů, připojení USB myši";"Vložení CD s Windows, připojení tiskárny, zapnutí Wi-Fi"
"Jaká je hlavní funkce grafické karty (GPU)?";"Zpracovávat obrazový výstup";"Řídit napájení počítače";"Provádět aritmetické výpočty";"Přenášet data mezi disky"
"Jaký typ údržby zahrnuje pravidelné čištění skříně a ventilátorů?";"Hardwarová údržba";"Softwarová údržba";"Kancelářská údržba";"Bezpečnostní údržba"
"Proč je důležité pravidelně aktualizovat operační systém?";"Zvyšuje bezpečnost a stabilitu";"Snižuje spotřebu energie";"Opravuje hardware";"Zvyšuje grafický výkon"
"Co je hlavním účelem BIOSu/UEFI?";"Inicializace hardwaru při startu";"Ukládání uživatelských dat";"Spouštění antivirové kontroly";"Řízení napájení počítače"
"Co je úkolem firewallu v počítači?";"Ochrana před neoprávněným přístupem";"Správa zvukového výstupu";"Ovládání rychlosti procesoru";"Monitorování teploty"
"Jaké je hlavní riziko při práci s hardwarem?";"Elektrostatický výboj (ESD)";"Pomalý procesor";"Špatná kvalita zvuku";"Nedostatek USB portů"
