Otazka;Spravna_odpoved;Odpoved_2;Odpoved_3;Odpoved_4
Co je operační systém?;Základní software, který řídí chod počítače;Hardware pro zobrazení;Program pro kreslení;Zálohovací zařízení
Který z následujících je operační systém?;Linux;Google Chrome;Photoshop;Excel
Který z následujících není OS?;PowerPoint;Windows;macOS;Linux
Co je licence?;Právní povolení k používání softwaru;Označení hardwaru;Název disku;Typ připojení
Co znamená freeware?;Software zdarma;Zkušební verze softwaru;Pirátský software;Zabezpečovací program
Co znamená shareware?;Software s omezenou zkušební verzí;Zdarma software;Placený software bez zkoušky;Operační systém
Co znamená komerční software?;Placený software určený k prodeji;Software vytvořený uživateli;Zastaralý software;Bezplatný nástroj
Co je open source software?;Software s otevřeným zdrojovým kódem;Placený software;Zamčený program;Program pouze pro Linux
K čemu slouží Creative Commons licence?;Umožňuje sdílení obsahu s určitými podmínkami;Označuje program pro Windows;Chrání před viry;Zajišťuje přístup na internet
Který z těchto programů je textový editor?;MS Word;MS Paint;Firefox;Windows Defender
Jaký typ softwaru je antivir?;Bezpečnostní software;Operační systém;Program na kreslení;Přehrávač videa
Co je program?;Sada instrukcí pro počítač;Hardwarový komponent;Vstupní zařízení;Paměťové médium
Co je aktualizace softwaru?;Zlepšení, opravy nebo nové funkce programu;Změna hesla;Formátování disku;Odinstalace programu
Co je instalační balíček?;Soubor potřebný k instalaci programu;Typ kabelu;Základní deska;Systém BIOS
Co je ISO obraz?;Kopie instalačního média uložená v jednom souboru;Formát videa;Značka disku;Programovací jazyk
Co je trial verze?;Zkušební verze programu na omezený čas;Placená verze bez limitu;Zastaralý program;Zabezpečení disku
Co je cloud software?;Software fungující online přes internet;Instalovaný na disku;Program pro řízení hardware;Editor HTML
Co je GUI?;Grafické uživatelské rozhraní;Typ formátování;Paměťový čip;Zabezpečení softwaru
Jaká je funkce instalačního průvodce?;Pomáhá uživateli krok za krokem nainstalovat software;Zálohuje data;Připojuje síť;Upravuje obrázky
Který OS je známý pro svou otevřenost a přizpůsobení?;Linux;Windows;macOS;ChromeOS
