Otazka;Spravna_odpoved;Odpoved_2;Odpoved_3;Odpoved_4
Jaké jsou hlavní složky krve?;Plazma, červené a bílé krvinky, krevní destičky;Voda, enzymy, tuky;Hormony, vitamíny, bílkoviny;Kyslík, dusík, oxid uhličitý
Jakou funkci mají červené krvinky?;Přenášejí kyslík;Bojují s infekcemi;Zastavují krvácení;Produkují hormony
Co je hlavní funkcí bílých krvinek?;Ochrana proti infekcím;Přenos kyslíku;Ukládání cukru;Tvorba krevní plazmy
Jak se nazývá proces srážení krve?;Koagulace;Filtrace;Difúze;Osmóza
Jakou funkci mají krevní destičky?;Zajišťují srážení krve;Přenášejí živiny;Regulují teplotu těla;Podporují trávení
Co je krevní plazma?;Tekutá složka krve;Bílá krvinka;Část krevní destičky;Pevná složka krve
Jaká je funkce lymfocytů?;Účast na imunitní odpovědi;Přenášení kyslíku;Srážení krve;Udržování osmotického tlaku
Jaká je role srdce v krevním oběhu?;Pumpuje krev do celého těla;Filtruje toxiny;Zajišťuje dýchání;Vytváří krevní buňky
Jaké cévy odvádějí krev ze srdce?;Tepny;Žíly;Kapiláry;Lymfatické cévy
Jaké cévy přivádějí krev k srdci?;Žíly;Tepny;Kapiláry;Lymfa
Kde dochází k výměně látek mezi krví a tkáněmi?;V kapilárách;V tepnách;V srdečních komorách;V lymfě
Co je mízní (lymfatický) oběh?;Síť cév odvádějících tkáňový mok zpět do krve;Oběh v játrech;Pohyb krve v mozku;Oběh v plicích
Jaká je funkce lymfatických uzlin?;Filtrace lymfy a imunitní odpověď;Produkce krve;Zajištění srážení;Zvyšování krevního tlaku
Jaký je hlavní rozdíl mezi malým a velkým krevním oběhem?;Malý vede krev do plic, velký do těla;Malý vede krev do jater, velký do plic;Velký obíhá jen hlavu;Malý zásobuje dolní končetiny
Které onemocnění je spojeno s ucpáním cév?;Ateroskleróza;Anémie;Leukémie;Hemofilie
Co je prevence cévních onemocnění?;Zdravý životní styl, pohyb, správná strava;Časté sezení;Nízký příjem tekutin;Vysoký příjem tuků
Jaký hormon reguluje množství vody v krvi?;Antidiuretický hormon (ADH);Adrenalin;Testosteron;Glukagon
Jaký vliv má vysoký krevní tlak?;Zatěžuje srdce a cévy;Zvyšuje přenos kyslíku;Zrychluje trávení;Zvyšuje imunitu
Který vitamín je důležitý pro srážení krve?;Vitamín K;Vitamín C;Vitamín D;Vitamín A
K čemu slouží krevní oběh?;K transportu živin, plynů a odpadních látek;K produkci hormonů;K regulaci trávení;K tvorbě energie
