Otázka;Správná_odpověď;Odpověď_2;Odpověď_3;Odpověď_4  
"Co je dolní propust?";"Obvod, který propouští nízké frekvence a tlumí vysoké frekvence";"Obvod, který propouští vysoké frekvence a tlumí nízké frekvence";"Obvod, který zesiluje vysoké frekvence";"Obvod, který měří výkon"  
"Jak se vypočítá mezní frekvence dolní propusti?";"fc=1/(2πRC)";"fc=2πRC";"fc=1/(RC)";"fc=2/(πRC)"  
"Co je časová konstanta dolní propusti?";"Čas potřebný k dosažení 63 % konečné hodnoty signálu";"Čas potřebný k dosažení 50 % konečné hodnoty signálu";"Čas potřebný k plnému nabití kondenzátoru";"Čas potřebný k zesílení signálu"  
"Jaký vliv má dolní propust na obdélníkový signál?";"Zaoblí hrany signálu";"Zesílí vysokofrekvenční složky";"Zrychlí změny amplitudy";"Potlačí nízkofrekvenční složky"  
"Co způsobuje tvarové zkreslení signálu?";"Potlačení vyšších harmonických složek";"Nedostatečné zesílení základní frekvence";"Zesílení nízkofrekvenčních složek";"Fázový posun 0°"  
"Jaký je vzorec pro amplitudovou charakteristiku dolní propusti?";"|H(jω)| = 1 / sqrt(1 + (ωRC)²)";"|H(jω)| = 1 + (ωRC)²";"|H(jω)| = ωRC";"|H(jω)| = 1 / (ωRC)"  
"Jak se vypočítá fázový posun dolní propusti?";"ϕ = -arctan(ωRC)";"ϕ = arctan(ωRC)";"ϕ = -ωRC";"ϕ = ωRC"  
"Jaký je význam logaritmické stupnice v analýze dolní propusti?";"Používá se pro zobrazení frekvenční charakteristiky v dB";"Používá se pro výpočet časové konstanty";"Používá se pro měření výkonu zesilovače";"Používá se pro analýzu tvarového zkreslení"  
"Co znamená hodnota |H(jω)|dB = -3 dB?";"Amplituda signálu klesla na 70,7 % původní hodnoty";"Signál je plně potlačen";"Signál je zesílen na dvojnásobek";"Signál je zeslaben na 50 %"  
"Co je komplexní číslo?";"Číslo ve tvaru z = a + jb, kde a je reálná část a b imaginární";"Číslo, které obsahuje pouze reálnou část";"Číslo ve tvaru z = a - b";"Číslo, které obsahuje pouze imaginární část"  
"Jak se určí mezní frekvence při měření?";"Sledováním poklesu amplitudy na 70,7 % maximální hodnoty";"Měřením špičkového výkonu zesilovače";"Určením nulového fázového posunu";"Sledováním zvýšení amplitudy o 3 dB"  
"Jaký nástroj se používá pro měření frekvence a fázového posunu?";"Osciloskop";"Multimetr";"Analyzátor signálu";"Spektrální analyzátor"  
"Jak vypočítáme fázový posun ϕ z časového zpoždění Δt?";"ϕ = -360° × (Δt / T)";"ϕ = 360° × (Δt / T)";"ϕ = -180° × (Δt / T)";"ϕ = 180° × (Δt / T)"  
"Jaká je jednotka impedance kondenzátoru?";"Ohm (Ω)";"Farad (F)";"Siemens (S)";"Henry (H)"  
"Jaký je vztah mezi mezní frekvencí a časovou konstantou?";"fc = 1 / (2πRC)";"fc = RC";"fc = 2πRC";"fc = 1 / RC"  
"Co způsobuje dolní propust při vysokých frekvencích?";"Potlačuje vysokofrekvenční složky signálu";"Zesiluje vysokofrekvenční složky";"Zesiluje nízkofrekvenční složky";"Propouští všechny frekvence stejně"  
"Jaký je hlavní účel dolní propusti?";"Propouštět nízké frekvence a tlumit vysoké frekvence";"Propouštět vysoké frekvence a tlumit nízké frekvence";"Zesílit všechny frekvence rovnoměrně";"Zeslabit všechny frekvence rovnoměrně"
