Otazka;Spravna_odpoved;Odpoved_2;Odpoved_3;Odpoved_4
Kdy vznikla Společnost národů?;1919;1923;1918;1930
Jaký byl hlavní cíl Společnosti národů?;Udržení míru a prevence války;Kolonizace Afriky;Příprava na další válku;Vytvoření armády OSN
Kde sídlila Společnost národů?;Ženeva;Paříž;Londýn;New York
Který stát nebyl členem Společnosti národů?;USA;Francie;Velká Británie;Itálie
Jaký byl důsledek hospodářské krize roku 1929?;Vzestup totalitních režimů;Zvýšení zaměstnanosti;Zkrácení pracovního týdne;Zánik mezinárodního obchodu
Kde krize roku 1929 začala?;USA;Francie;Německo;Itálie
Kdo se stal prezidentem USA v roce 1933?;Franklin D. Roosevelt;Herbert Hoover;Harry Truman;Woodrow Wilson
Jaký plán obnovy zavedl Roosevelt?;New Deal;Marshallův plán;Zelený plán;Program 14 bodů
Který stát se stal totalitním pod vedením Mussoliniho?;Itálie;Německo;Španělsko;Maďarsko
Kdo se dostal k moci v Německu v roce 1933?;Adolf Hitler;Paul von Hindenburg;Joseph Goebbels;Wilhelm II.
Jak se jmenovala Hitlerova strana?;NSDAP;SPD;KPD;CDU
Jaký dokument podepsal Hitler s papežem v roce 1933?;Konkordát;Versailleská smlouva;Říšský zákon;Pařížská dohoda
Jaký byl výsledek Mnichovské dohody v roce 1938?;Ztráta Sudet Československem;Rozpad Francie;Připojení Polska k Německu;Vznik SSSR
Které velmoci se účastnily Mnichovské dohody?;Německo, Itálie, Francie, Velká Británie;USA, Francie, Německo;SSSR, Polsko, Německo;Československo, USA, Itálie
Kdy vznikl Sovětský svaz?;1922;1917;1933;1945
Kdo byl vůdcem SSSR ve 30. letech?;Josif Stalin;Lenin;Chruščov;Gorbačov
Jaká událost probíhala ve Španělsku v letech 1936–1939?;Občanská válka;Světová válka;Revoluce;Náboženská reforma
Kdo byl diktátorem Španělska po roce 1939?;Francisco Franco;Juan Carlos;Mussolini;Salazar
Který pakt uzavřely Německo a SSSR v roce 1939?;Pakt Ribbentrop-Molotov;Pakt OSN;Versailleský mír;Mnichovská dohoda
Jaká byla reakce světa na agresivní politiku Německa?;Politika appeasementu;Vyhlášení války;Bojkot olympiády;Zákaz exportu
