Otazka;Spravna_odpoved;Odpoved_2;Odpoved_3;Odpoved_4
Kdo byl hlavním představitelem husitského hnutí?;Jan Hus;Petr Chelčický;Tomáš Štítný;Jeronym Pražský
Kde kázal Jan Hus?;Betlémská kaple v Praze;Katedrála sv. Víta;Univerzita Karlova;Kutná Hora
Kdy byl Jan Hus upálen?;1415;1419;1420;1434
Kde byl Jan Hus upálen?;Kostnice;Praha;Norimberk;Řím
Jaký byl hlavní požadavek husitů?;Kališnické přijímání;Zrušení krále;Zákaz daní;Omezení šlechty
Který dokument shrnoval požadavky husitů?;Čtyři artikuly pražské;Zlatá bula;Kutnohorský dekret;Basilejská kompaktáta
Kdy začalo první pražské defenestrace?;1419;1415;1420;1431
Kdo vedl husitské vojsko jako hlavní hejtman?;Jan Žižka;Prokop Holý;Petr z Mladoňovic;Jiří z Poděbrad
Která bitva byla první velkou husitskou výhrou?;Bitva u Sudoměře;Bitva u Domažlic;Bitva u Lipan;Bitva na Vítkově
Kdy se odehrála bitva na Vítkově?;1420;1419;1434;1436
Jaký vojenský prvek používali husité?;Husitské vozové hradby;Jezdecké šiky;Letadla;Horký olej
Kdo vedl radikální husity (tábority)?;Prokop Holý;Jan Rokycana;Zikmund;Oldřich z Rožmberka
Jak skončila bitva u Lipan (1434)?;Porážka radikálních husitů;Vítězství husitů nad Zikmundem;Útok křižáků;Vítězství tábora
Který král se stal českým králem po ukončení husitských válek?;Zikmund Lucemburský;Jiří z Poděbrad;Vladislav Jagellonský;Albrecht Habsburský
Kdo byli utrakvisté?;Umírněná husitská skupina;Katolíci;Radikálové;Římská církev
Co byly Basilejská kompaktáta?;Dohoda mezi husity a církví;Zákon o svobodě víry;Učebnice;Dohoda o daních
Jaký byl hlavní důsledek husitských válek?;Oslabení moci katolické církve v Čechách;Zničení Evropy;Sjednocení s Německem;Pád Prahy
Jak se jmenovalo město, které bylo centrem husitství?;Tábor;Praha;Brno;Olomouc
Jak se nazývala poslední fáze husitských válek?;Bitva u Lipan;Křižácké tažení;Žižkova smrt;Rozpad tábora
Jaký význam měly husitské války v evropském kontextu?;Předznamenaly reformaci;Zničily celé Německo;Omezily obchod;Způsobily epidemii
