Otazka;Spravna_odpoved;Odpoved_2;Odpoved_3;Odpoved_4
Který kmen založil Franská říši?;Frankové;Germáni;Slované;Řekové
Kdo byl prvním významným panovníkem Franské říše?;Chlodvík I.;Karel Martel;Karel Veliký;Ludvík Pobožný
Jaký křest přijal Chlodvík I.?;Křesťanský (katolický);Ariánský;Islámský;Židovský
Co bylo hlavní město Franské říše za Karla Velikého?;Aachen (Cáchy);Paříž;Řím;Toulouse
Kdy byl Karel Veliký korunován císařem?;800 n. l.;843 n. l.;476 n. l.;732 n. l.
Kdo korunoval Karla Velikého císařem?;Papež Lev III.;Císař východořímský;Franský sněm;Řehoř Veliký
Jaký dokument rozdělil Franská říši mezi Karlovy vnuky?;Verdunská smlouva;Augsburský mír;Zlatá bula sicilská;Přemyslovský kodex
Co je důsledkem verdunské smlouvy?;Vznik Francie a Německa;Pád Říma;Rozpad římské říše;Vznik Byzance
Kdo vedl Franky proti Arabům u Poitiers?;Karel Martel;Karel Veliký;Ludvík Němec;Chlodvík I.
Kdo byl zakladatelem dynastie Karlovců?;Karel Martel;Karel Veliký;Chlodvík I.;Pipin Krátký
Jaký význam měl Karel Veliký pro školství?;Podporoval vzdělanost a zakládal školy;Zakázal knihy;Zrušil latinu;Omezil výuku
Jak se nazýval základní vojenský útvar v raně středověké Evropě?;Družina;Legie;Centurie;Oddíl
Co označuje pojem feudalismus?;Systém lenní závislosti;Náboženský systém;Obchodní organizace;Demokratické zřízení
Který kmen založil Anglosaské království?;Anglosasové;Frankové;Normané;Keltové
Které území ovládli Vizigóti po pádu Západořímské říše?;Hispánie;Galie;Itálie;Británie
Jaký jazyk se používal v raně středověké diplomacii?;Latina;Řečtina;Němčina;Staroslověnština
Kdo byli vikingové?;Seveřané známí jako mořeplavci a válečníci;Římští legionáři;Slovanští obchodníci;Arabští poutníci
Který stát založili Vikingové na Britských ostrovech?;Danelaw;Normandie;Sasko;Wessex
Který panovník sjednotil Anglii?;Alfréd Veliký;Chlodvík;Karel Martel;Ludvík Pobožný
Jaký byl vztah křesťanství k raně středověkým říším?;Bylo státním náboženstvím a zdrojem legitimity;Bylo zakázáno;Bylo ignorováno;Bylo omezeno jen na kláštery
