Otazka;Spravna_odpoved;Odpoved_2;Odpoved_3;Odpoved_4
Co je hlavním účelem buněčného dýchání?;Získávání energie ve formě ATP;Tvorba kyslíku;Rozklad škrobu;Přeměna světelné energie
Kde probíhá buněčné dýchání?;V mitochondriích;V jádře;V chloroplastech;V cytoplazmě
Jaká je první fáze buněčného dýchání?;Glykolýza;Krebsův cyklus;Dýchací řetězec;Fotosyntéza
Co vzniká při glykolýze?;Pyruvát a ATP;Kyslík a voda;Glukóza a NADPH;CO₂ a voda
Která fáze buněčného dýchání produkuje nejvíce ATP?;Dýchací řetězec;Glykolýza;Krebsův cyklus;Fermentace
Jaký plyn je produktem buněčného dýchání?;Oxid uhličitý;Kyslík;Dusík;Vodík
Jaký plyn je nezbytný pro aerobní dýchání?;Kyslík;Oxid uhličitý;Dusík;Helium
Co je fermentace?;Anaerobní proces získávání energie;Typ fotosyntézy;Rozklad bílkovin;Způsob dýchání rostlin
Jaký je význam fotosyntézy?;Produkuje kyslík a glukózu;Spotřebovává kyslík;Zajišťuje buněčné dělení;Tvoří enzymy
Kde probíhá fotosyntéza?;V chloroplastech;V mitochondriích;V jádře;V cytoplazmě
Který pigment je hlavní pro fotosyntézu?;Chlorofyl;Karoten;Melanin;Myoglobin
Jaká je první fáze fotosyntézy?;Světelná fáze;Temnostní fáze;Glykolýza;Dýchací řetězec
Jaká je druhá fáze fotosyntézy?;Temnostní fáze (Calvinův cyklus);Světelná fáze;Krebsův cyklus;Fermentace
Jaké jsou produkty světelné fáze fotosyntézy?;ATP, NADPH, kyslík;Glukóza a voda;CO₂ a voda;Pyruvát a ATP
Jaké jsou hlavní reaktanty fotosyntézy?;Voda, oxid uhličitý a světlo;Kyslík a glukóza;ATP a NADPH;Dusík a voda
Jak zní sumární rovnice fotosyntézy?;6CO₂ + 6H₂O + světlo → C₆H₁₂O₆ + 6O₂;C₆H₁₂O₆ + O₂ → CO₂ + H₂O + energie;CO₂ + O₂ → H₂O;6O₂ + C₆H₁₂O₆ → 6CO₂ + ATP
Co je autotrofie?;Způsob výživy pomocí anorganických látek;Způsob výživy živočichů;Příjem potravy z okolí;Rozklad organických látek
Co je heterotrofie?;Způsob výživy získáváním organických látek;Tvorba organických látek z anorganických;Fotosyntéza;Autonomní buněčné dělení
Který organismus je schopen fotosyntézy?;Zelená řasa;Plíseň hlavičková;Bakteriofág;Kvasinka
Co je fotosystém?;Komplex pigmentů a bílkovin zachycujících světlo;Membrána mitochondrie;DNA v jádře;Protein ribozomu
