Otazka;Spravna_odpoved;Odpoved_2;Odpoved_3;Odpoved_4
Co vyjadřuje látkové množství?;Počet částic v molu látky;Objem látky;Hmotnost atomu;Rychlost reakce
Jednotka látkového množství je?;Mol;Gram;Litr;Kilogram
Jak se značí molární hmotnost?;M;n;m;V
Jaký je vztah mezi hmotností, látkovým množstvím a molární hmotností?;n = m / M;m = n · V;n = V · M;M = n / m
Co je stechiometrie?;Poměrový vztah mezi reaktanty a produkty;Změna skupenství;Rozklad látek;Přenos energie
Jaká je hodnota Avogadrovy konstanty?;6,022·10^23 mol⁻¹;1,008;3,14;9,81 m/s²
Jak se značí molární objem plynu?;Vm;V;m;n
Jaká je přibližná hodnota molárního objemu plynu za normálních podmínek?;22,4 dm³/mol;6,022 mol;1 dm³/mol;10 l/mol
Kolik valenčních elektronů má uhlík?;4;2;6;8
Jaká je hybridizace uhlíku ve sloučeninách s jednoduchými vazbami?;sp³;sp;sp²;dsp³
Jaká hybridizace je typická pro dvojnou vazbu uhlíku?;sp²;sp;sp³;dsp²
Jaká hybridizace je typická pro trojnou vazbu uhlíku?;sp;sp²;sp³;sp⁴
Co je izomerie?;Existence sloučenin se stejným složením, ale odlišnou strukturou;Rozklad molekuly;Spalování uhlíku;Ionizace látky
Co je konstituční izomerie?;Různé uspořádání atomů ve struktuře;Různý počet atomů;Shodná molekulová hmotnost;Odlišný oxidační stav
Co je geometrická izomerie?;Různá poloha skupin u dvojné vazby;Odlišný oxidační stav;Rozklad molekuly;Typ polarizace světla
Co je optická izomerie?;Existence chirálních molekul – zrcadlové obrazy;Rozklad uhlíku;Přítomnost dvojných vazeb;Vazba mezi aromáty
Jaký prvek je centrem optické izomerie v organických sloučeninách?;Uhlík;Kyslík;Dusík;Vodík
Který uhlík je chirální?;Uhlík se čtyřmi různými substituenty;Uhlík se dvěma vodíky;Uhlík s jednou dvojnou vazbou;Uhlík na konci řetězce
Kolik konstitučních izomerů má butan?;2;3;1;4
Jaký je obecný vzorec pro alkeny?;CₙH₂ₙ;CₙH₂ₙ₊₂;CₙH₂ₙ₋₂;CₙH₂ₙ₊₁
