Otazka;Spravna_odpoved;Odpoved_2;Odpoved_3;Odpoved_4
"Co jsou polovodičové prvky?";"Stavební jednotky moderní elektroniky";"Izolátory pro přenos signálu";"Mechanické součástky";"Optické prvky pro přenos světla"
"Jaké materiály se nejčastěji používají pro polovodičové prvky?";"Křemík a germanium";"Hliník a měď";"Uhlík a kobalt";"Sklo a plast"
"Jaké jsou hlavní typy polovodičových prvků?";"Pasivní a aktivní";"Elektronické a mechanické";"Optické a magnetické";"Jednočipové a vícečipové"
"Co jsou aktivní polovodičové prvky?";"Prvky, které mohou zesilovat nebo spínat signály";"Prvky bez zesilovací schopnosti";"Prvky pro mechanické pohyby";"Prvky určené k přenosu tepla"
"Jaká technologie je typická pro vysokou hustotu integrace a nízkou spotřebu energie?";"CMOS";"TTL";"IGBT";"GTO"
"Jaká je hlavní výhoda technologie TTL?";"Rychlé přepínání";"Nízká spotřeba energie";"Vysoká hustota integrace";"Odolnost vůči teplotním výkyvům"
"Jaká je hlavní výhoda technologie CMOS?";"Nízká spotřeba energie v klidovém stavu";"Vysoká odolnost vůči šumu";"Rychlé přepínání";"Nízká hustota integrace"
"Jaký je hlavní účel časovače 555?";"Generování pulsů nebo časování";"Měření teploty";"Zesilování signálu";"Převod analogového signálu"
"Jaký režim provozu časovače 555 generuje nepřetržitou řadu pulsů?";"Astabilní režim";"Monostabilní režim";"Bistabilní režim";"Invertující režim"
"Jak se nazývá integrovaný obvod, který zesiluje rozdíl mezi dvěma signály?";"Operační zesilovač";"Časovač 555";"GTO tyristor";"IGBT tranzistor"
"Jaká je hlavní výhoda operačního zesilovače v invertující konfiguraci?";"Výstupní signál je otočen v amplitudě a fázi";"Výstupní signál je zesílen bez změny fáze";"Výstupní signál je vyhlazen";"Výstupní signál je modulován"
"Jaká je hlavní vlastnost invertujícího zesilovače?";"Výstupní signál je otočen v amplitudě a fázi";"Výstupní signál je zesílen bez změny fáze";"Výstupní signál je vyhlazen";"Výstupní signál je modulován"
"Co je hlavní vlastnost IGBT tranzistoru?";"Kombinace vlastností MOSFET a bipolárního tranzistoru";"Převod střídavého proudu na stejnosměrný";"Přenos optického signálu";"Měření teploty"
"Jaký je hlavní přínos IGCT tyristoru oproti GTO?";"Nižší spínací ztráty a lepší řízení";"Vyšší spotřeba energie";"Menší rychlost přepínání";"Horší řízení a stabilita"
"Jaký je hlavní účel GTO tyristoru?";"Přenos elektrické energie a řízení motorů";"Generování PWM signálu";"Zesilování zvukových signálů";"Měření odporu"
"Jaká je hlavní výhoda použití CMOS technologie?";"Nízká spotřeba energie";"Vysoká odolnost vůči rušení";"Rychlé přepínání";"Nízká cena"
"Co je hlavní vlastností časovače 555 v monostabilním režimu?";"Generuje jednorázový výstupní impuls";"Generuje nepřetržitou řadu pulsů";"Funguje jako invertor";"Převádí střídavý signál na stejnosměrný"
"Jaká je hlavní vlastnost časovače 555 v astabilním režimu?";"Generuje nepřetržitou řadu pulsů";"Funguje jako klopný obvod";"Převádí signál na stejnosměrný";"Generuje jednorázový impuls"
"Jaká technologie polovodičových prvků je nejvhodnější pro mobilní zařízení?";"CMOS";"TTL";"GTO";"IGCT"
"Jaký je hlavní účel použití operačních zesilovačů v elektronice?";"Zesilování analogových signálů";"Přepínání vysokonapěťových obvodů";"Generování časovacích signálů";"Kódování digitálních dat"
