Otazka;Spravna_odpoved;Odpoved_2;Odpoved_3;Odpoved_4
Co je úkolem smyslové soustavy?;Získávat informace z okolí a předávat je CNS;Zásobovat tělo energií;Ovládat svaly;Produkovat hormony
Co jsou receptory?;Buňky schopné vnímat podněty;Části srdce;Žlázy s vnitřní sekrecí;Krevní buňky
Kde se nachází fotoreceptory?;V sítnici oka;Na jazyku;Ve svalech;V játrech
Jaký je hlavní orgán zraku?;Oko;Ucho;Mozek;Nos
Co je rohovka?;Průhledná část oka vpředu;Zadní část oka;Sval okolo oka;Čočka
Jaká je funkce čočky v oku?;Zaostřuje obraz na sítnici;Chrání oko;Produkuje slzy;Přenáší zvuk
Kde se nacházejí tyčinky a čípky?;Na sítnici;Na rohovce;Na čočce;Na duhovce
Jaký je rozdíl mezi tyčinkami a čípky?;Tyčinky vnímají světlo, čípky barvy;Tyčinky jsou barevné, čípky černobílé;Čípky fungují v noci;Tyčinky jsou ve sklivci
Jaký je hlavní orgán sluchu?;Ucho;Oko;Nos;Mozek
Co přenáší zvukové vlny ve středním uchu?;Kůstky – kladívko, kovadlinka, třmínek;Šlachy;Svaly;Dutiny
Co je cochlea (hlemýžď)?;Část vnitřního ucha převádějící zvuk na nervové impulzy;Část oka;Mozková oblast;Žláza
Jaký orgán zajišťuje rovnováhu?;Polokruhovité kanálky;Sítnice;Mozková kůra;Zrakový nerv
Kde se nacházejí chuťové pohárky?;Na jazyku;Na zubech;V nose;V krku
Kolik základních chutí rozeznáváme?;Pět – sladká, slaná, kyselá, hořká, umami;Tři – sladká, kyselá, slaná;Šest – včetně pálivé;Čtyři – sladká, slaná, kyselá, hořká
Jaký orgán vnímá čich?;Nosní sliznice s čichovými buňkami;Mozek;Jazyk;Oko
Co je receptorem hmatu?;Volná nervová zakončení a tělíska v kůži;Chuťové pohárky;Svalová vlákna;Hormony
Jaký smysl vnímá teplotu a bolest?;Hmat;Sluch;Zrak;Chuť
Který smyslový orgán se může nejrychleji adaptovat?;Nos (čich);Ucho;Oko;Jazyk
Jak se nazývá smyslový nerv vedoucí signály z oka?;Zrakový nerv;Sluchový nerv;Čichový nerv;Mozkomíšní nerv
Jak můžeme chránit smyslové orgány?;Prevencí, hygienou, ochranou před poškozením;Jezením sladkostí;Zvýšeným tlakem;Sníženou aktivitou CNS
