Otazka;Spravna_odpoved;Odpoved_2;Odpoved_3;Odpoved_4
Co je kvantování energie?;Energie se může měnit pouze po určitých dávkách (kvantech);Energie je plynulá;Energie se nemění;Energie závisí jen na hmotnosti
Co je fotoelektrický jev?;Uvolnění elektronů z povrchu kovu vlivem dopadu světla;Zahřívání kovu;Odraz světla;Změna barvy kovu
Který vědec vysvětlil fotoelektrický jev?;Albert Einstein;Isaac Newton;Marie Curie;Niels Bohr
Co je de Broglieho hypotéza?;Částice mají vlnové vlastnosti;Světlo nemá hmotnost;Elektron je klidová částice;Atomy jsou nedělitelné
Jaký je význam čárového spektra?;Ukazuje energetické hladiny elektronů v atomech;Ukazuje barvu látky;Zobrazuje tlak;Ukazuje objem elektronů
Jaký model atomu navrhl Niels Bohr?;Elektrony obíhají jádro po kvantovaných drahách;Elektrony jsou náhodně rozmístěny;Atom je plný elektronů;Jádro je tvořeno pouze neutrony
Co je laser?;Zařízení vytvářející koherentní monochromatické světlo;Zdroj bílého světla;Zesilovač zvuku;Rentgenový přístroj
Co je kvantový skok?;Přesun elektronu mezi energetickými hladinami;Pohyb atomu;Změna hmotnosti;Náraz fotonu
Jaký je princip rentgenového záření?;Vzniká při dopadu rychlých elektronů na kovový terčík;Vysílá ho laser;Způsobuje ho teplo;Vzniká při změně objemu
Co tvoří atomové jádro?;Protony a neutrony;Elektrony a protony;Ionty;Fotonové částice
Co je vazebná energie?;Energie potřebná k rozdělení jádra na jednotlivé nukleony;Energie elektronu;Tlak uvnitř atomu;Rychlost neutronu
Co je jaderná reakce?;Přeměna jádra atomu spojená se změnou struktury;Rozpad molekul;Změna orbitu elektronů;Ohyb světla
Co je štěpení jádra?;Rozpad těžkého jádra na dvě menší;Spojení dvou jader;Rozpad molekuly;Změna náboje
Co je jaderná fúze?;Spojení lehkých jader do těžšího;Rozpad těžkého jádra;Změna dráhy elektronu;Rozklad molekul
Kde probíhá jaderná fúze?;V nitru hvězd;V rentgenu;V ledničce;Na Zemi běžně
Co je radioaktivita?;Schopnost jader samovolně se přeměňovat;Změna barvy látky;Vedení elektřiny;Rozklad molekul
Kdo objevil radioaktivitu?;Henri Becquerel;Albert Einstein;Isaac Newton;Marie Curie
Co je alfa záření?;Proud jader helia (2 protony a 2 neutrony);Proud elektronů;Světelné záření;Fotonové vlny
Co je beta záření?;Proud elektronů nebo pozitronů;Proud neutronů;Vlnění světla;Rychlé ionty
Co je atomový reaktor?;Zařízení řízeně udržující štěpnou řetězovou reakci;Zásobník elektronů;Zesilovač signálu;Zdroj světla
