Otazka;Spravna_odpoved;Odpoved_2;Odpoved_3;Odpoved_4
Které prvky patří do IV. A skupiny?;Uhlík, křemík, germanium, cín, olovo;Dusík, fosfor;Sodík, draslík;Kyslík, síra
Jaký je oxidační stav uhlíku v organických sloučeninách?;+IV až -IV;+II;0;-I
Jaký je hlavní prvek IV. A skupiny?;Uhlík;Dusík;Kyslík;Síra
Jaký je význam uhlíku?;Základ organické chemie;Tvoří vodu;Je plyn;Tvoří soli
Jaké vazby může uhlík tvořit?;Jednoduché, dvojné i trojné;Pouze jednoduché;Pouze dvojnou;Pouze vodíkové
Jaká je hybridizace uhlíku v molekule ethenu?;sp²;sp³;sp;dsp²
Který prvek IV. A skupiny se používá ve výrobě polovodičů?;Křemík;Olovo;Uhlík;Cín
Co jsou heterocykly?;Organické sloučeniny s kruhem obsahujícím jiný než uhlíkový atom;Kovy v kruhu;Anorganické molekuly;Estery uhlovodíků
Jaký atom je běžný v heterocyklech?;Dusík;Sodík;Chlor;Vápník
Jak se nazývá pětičlenný heterocyklus s jedním dusíkem?;Pyrrol;Furan;Thiophen;Pyridin
Jak se nazývá šestičlenný heterocyklus s jedním dusíkem?;Pyridin;Pyrrol;Benzol;Thiophen
Jaký je význam heterocyklických sloučenin?;Základ léčiv, barviv a vitamínů;Jsou inertní;Používají se jako rozpouštědla;Tvoří kovy
Který heterocyklus je obsažen v DNA?;Purin a pyrimidin;Pyridin;Furan;Thiophen
Jak se nazývá kyslíkatý pětičlenný heterocyklus?;Furan;Pyrrol;Benzol;Pyridin
Co je thiophen?;Pětičlenný heterocyklus se sírou;Kyselina karboxylová;Amin;Halogenderivát
Jaké je využití heterocyklických sloučenin?;Léčiva, pesticidy, vitamíny;Pouze barviva;Pouze detergenty;Pouze hnojiva
Co je charakteristické pro aromatické heterocykly?;Delokalizované π-elektrony;Zásaditost;Výrazná polarita;Kovové vazby
Jaká sloučenina je derivátem pyridinu?;Nikotin;Etanol;Amoniak;Methan
Kolik atomů tvoří kruh u pyridinu?;6;5;4;3
Jaký je rozdíl mezi heterocyklem a cykloalkanem?;Heterocyklus obsahuje jiný atom než uhlík;Cykloalkan má dvojné vazby;Heterocyklus je pouze aromatický;Cykloalkan je zásaditý
