Otazka;Spravna_odpoved;Odpoved_2;Odpoved_3;Odpoved_4
"Jaký typ připojení využívá telefonní linky pro přenos dat?";"DSL/VDSL";"Kabelové připojení";"Optické připojení";"Mobilní připojení"
"Jaký typ připojení nabízí nejvyšší rychlost?";"Optické připojení (FTTH)";"DSL/VDSL";"Mobilní připojení (4G/5G)";"Satelitní připojení"
"Jaký typ připojení poskytuje mobilitu a snadnou instalaci?";"Mobilní připojení (4G/5G)";"Optické připojení";"DSL/VDSL";"Kabelové připojení"
"Jaký je hlavní nevýhodou satelitního připojení?";"Vysoká latence a citlivost na počasí";"Nízká rychlost";"Omezené pokrytí";"Vyšší provozní náklady"
"Jaký aktivní prvek je nezbytný pro DSL připojení?";"DSL modem/router";"Kabelový modem";"Optický převodník";"Mobilní router"
"Jaký aktivní prvek je potřebný pro kabelové připojení k internetu?";"Kabelový modem";"Mobilní router";"Satelitní modem";"Optický převodník"
"Jaký prvek převádí optický signál na elektrický u optického připojení?";"Optický modem (ONT)";"DSL modem";"Kabelový modem";"Mobilní router"
"Jaké připojení poskytuje mobilní router (4G/5G)?";"Mobilní připojení";"DSL připojení";"Kabelové připojení";"Optické připojení"
"Jaké zařízení je potřebné pro satelitní připojení k internetu?";"Satelitní modem a parabola";"Optický převodník";"Wi-Fi router";"Bluetooth adaptér"
"Jaký pasivní prvek je nezbytný pro DSL připojení?";"Telefonní kabel (RJ-11)";"Koaxiální kabel";"Optické vlákno";"Ethernetový kabel"
"Jaký pasivní prvek je využíván u kabelového připojení?";"Koaxiální kabel";"Optické vlákno";"Telefonní kabel";"HDMI kabel"
"Jaký je hlavní pasivní prvek optického připojení?";"Optické vlákno";"Koaxiální kabel";"Ethernetový kabel";"Telefonní kabel"
"Jaký bezdrátový standard je vhodný pro připojení k internetu doma?";"Wi-Fi 6 (802.11ax)";"Bluetooth 5.0";"Zigbee";"Infrared"
"Jaký prvek je nezbytný pro připojení počítače k Wi-Fi síti?";"Wi-Fi adaptér";"Ethernetový kabel";"Koaxiální modem";"Optický převodník"
"Jaký je první krok při připojení k Wi-Fi síti ve Windows?";"Kliknutí na ikonu Wi-Fi na hlavním panelu";"Restartování počítače";"Otevření příkazového řádku";"Vypnutí antiviru"
"Jaký údaj je nutné zadat při připojení k zabezpečené Wi-Fi síti?";"Heslo";"IP adresu";"MAC adresu";"DNS server"
"Jaký typ připojení je vhodný pro odlehlé oblasti bez kabelové infrastruktury?";"Satelitní připojení";"Optické připojení";"DSL připojení";"Kabelové připojení"
"Jaký příkaz ve Windows ověří připojení k internetu?";"ping www.google.com";"ipconfig /release";"tracert 8.8.8.8";"netstat -a"
"Jaký způsob připojení nabízí Wi-Fi hotspot z mobilního telefonu?";"Mobilní internet přes Wi-Fi";"Optické připojení";"Kabelové připojení";"Bezdrátový přenos přes Bluetooth"
"Jaké pásmo poskytuje delší dosah, ale nižší rychlost?";"2,4 GHz";"5 GHz";"60 GHz";"1 GHz"
"Jaká je hlavní výhoda optického připojení?";"Vysoká rychlost a stabilita";"Nízké náklady na instalaci";"Snadná mobilita";"Vysoká latence"
"Jaký kabel se používá u kabelového připojení?";"Koaxiální kabel";"Telefonní kabel";"Optické vlákno";"USB kabel"
"Jaký bezdrátový standard nabízí nejvyšší rychlost?";"Wi-Fi 6 (802.11ax)";"Bluetooth 4.2";"Zigbee";"Infrared"
"Jaký typ připojení je nejméně citlivý na rušení?";"Optické připojení";"Wi-Fi připojení";"Mobilní připojení";"Kabelové připojení"
"Jaký prvek je nutný pro sdílení internetu z mobilu?";"Mobilní hotspot";"Wi-Fi extender";"DSL modem";"Optický převodník"
"Jaká technologie připojení je vhodná pro domácí bezdrátovou síť?";"Wi-Fi";"Bluetooth";"Zigbee";"Satelitní připojení"
"Jaká frekvence Wi-Fi je vhodná pro vysokorychlostní přenosy?";"5 GHz";"2,4 GHz";"60 GHz";"1 GHz"
"Jaké zabezpečení Wi-Fi je nejbezpečnější?";"WPA3";"WEP";"WPA";"AES"
"Jaký typ připojení nabízí nejvyšší mobilitu?";"Mobilní připojení (4G/5G)";"DSL připojení";"Kabelové připojení";"Optické připojení"
