Otazka;Spravna_odpoved;Odpoved_2;Odpoved_3;Odpoved_4
Co je pracovní právo?;Soubor pravidel upravujících vztahy mezi zaměstnavatelem a zaměstnancem;Zákony o volbách;Práva školáků;Zdravotní nařízení
Co je trh práce?;Místo, kde se setkává nabídka a poptávka po práci;Místo s potravinami;Škola;Nemocnice
Kdo pomáhá hledat práci v ČR?;Úřad práce;Městská policie;Ministerstvo školství;Cestovní kancelář
Co je hlavní činnost úřadu práce?;Zprostředkování zaměstnání a evidence nezaměstnaných;Péče o seniory;Správa silnic;Vydávání pasů
Co je pracovněprávní vztah?;Vztah mezi zaměstnancem a zaměstnavatelem;Vztah mezi studentem a školou;Smlouva o dílo;Styk se zahraničím
Kdy vzniká pracovní poměr?;Uzavřením pracovní smlouvy;Přihlášením na kurz;Volbami;Zápisem do školy
Jaké jsou podmínky pracovní smlouvy?;Místo výkonu, druh práce, mzda, nástup;Věk, zdravotní stav, délka studia;Výše daně, typ pojištění;Způsob hlasování
Kdy končí pracovní poměr?;Výpovědí, dohodou, uplynutím doby;Po testu;Po svatbě;Po výletu
Co je výpověď?;Jednostranné ukončení pracovního poměru;Zákaz parkování;Rozpis hodin;Jídelní lístek
Jaká je výpovědní lhůta?;2 měsíce;1 týden;3 roky;24 hodin
Kdo chrání práva zaměstnanců?;Odbory;Policie;Úřad města;Škola
Co je odborová organizace?;Spolek hájící zájmy zaměstnanců;Soudní instituce;Rodinná rada;Politická strana
Co jsou práva zaměstnanců?;Mzda, dovolená, bezpečnost, ochrana zdraví;Volby, hlasování, řízení auta;Zákony, knihy, vstupenky;Výlet, školení, test
Jaká jsou povinnosti zaměstnance?;Dodržovat pracovní dobu a předpisy;Nosit uniformu všude;Mluvit cizím jazykem;Psát básně
Co je pracovní doba?;Čas, kdy musí být zaměstnanec v práci;Pauza na oběd;Čas na dovolenou;Doba volna
Co je minimální mzda?;Nejnižší možná zákonná odměna za práci;Nejnižší cena jídla;Důchod;Cena knihy
Co je brigáda?;Krátkodobá forma zaměstnání, často pro studenty;Typ voleb;Školní projekt;Vojenská jednotka
Kdo je zaměstnavatel?;Ten, kdo poskytuje práci;Ten, kdo vybírá daně;Ten, kdo vaří oběd;Ten, kdo učí matematiku
Jak může zaměstnanec hájit svá práva?;Obrátit se na inspektorát práce nebo soud;Stěžovat si na recepci;Napsat dopis škole;Volat prezidentovi
Proč je důležité znát pracovní právo?;Chrání zaměstnance i zaměstnavatele;Zvyšuje zábavu v práci;Umožňuje psát knihy;Nahradí volby
