Otazka;Spravna_odpoved;Odpoved_2;Odpoved_3;Odpoved_4
Co jsou syntetické makromolekulární látky?;Látky vytvořené polymerací menších jednotek;Přírodní tuky;Jednoduché soli;Monoatomové ionty
Co je polymerace?;Spojování monomerů do polymerního řetězce;Štěpení polymerů;Spalování uhlíku;Hydratace molekul
Jaké známe typy polymerace?;Radikálová, iontová, kondenzace;Esterifikace, adice;Oxidace, redukce;Dissociace, sublimace
Co je polyadice?;Spojování monomerů bez vedlejšího produktu;Spojování s uvolněním vody;Adice kyseliny;Rozklad polymeru
Co je polykondenzace?;Spojování monomerů za vzniku vedlejšího produktu (např. vody);Štěpení molekul;Sublimace sloučenin;Přenos elektronů
Na čem závisí vlastnosti polymeru?;Struktuře a délce řetězce;Způsobu tavení;Teplotě okolí;Skupenství monomeru
Co je termoplast?;Polymer, který lze opakovaně tvarovat teplem;Nehořlavý plast;Polární plast;Křehký polymer
Co je termoset?;Polymer, který nelze po vytvrzení tvarovat;Plast rozpustný ve vodě;Polymer, který měkne při zahřátí;Gumová sloučenina
Jaký polymer vzniká z ethenu?;Polyethylen;Polypropylen;PVC;Polystyren
Jaký polymer se získává polymerací chlorethenu?;PVC;Polypropylen;Polyamid;Polyethylen
K čemu se používá polystyren?;Obaly, izolace, konstrukce;Textil;Léky;Potraviny
Co je nylon?;Polyamidový polymer;Polyester;Polyetylén;Polypropen
Kde se využívá teflon?;Nepřilnavé povrchy;Okenní rámy;Papír;Barviva
Co je ropa?;Směs uhlovodíků;Čistý uhlík;Kapalina složená z vody a kyslíku;Minerál s kovem
Jak se získává ropa?;Těžbou z podzemí;Z mořské vody;Z listů rostlin;Ze vzduchu
Jaké jsou hlavní složky ropy?;Alkany, cykloalkany, aromáty;Kyslíkaté sloučeniny;Kovy;Halogeny
Jak se ropa zpracovává?;Frakční destilací;Filtrací;Kondenzací;Zkapalněním
Jaký je hlavní produkt frakční destilace?;Benzín;Voda;Plyn;Dusík
Co je zemní plyn?;Směs plynů obsahující hlavně metan;Pára z ropy;Oxid uhličitý;Dým z uhlí
K čemu se používá uhlí?;Palivo a surovina v chemii;Kyselina;Pesticid;Rozpouštědlo
